Phase,Task ID,Task Title,Priority,Description,Completion Status,Tags,Problem ID,Problem Title,Risk Rating,Business Unit,Application,Project,Project Attributes,Issue Tracker Tickets,Why is this Countermeasure included?
Testing,T2270,Test to confirm that password policies are configurable,5,"The application does not enforce creating passwords with enough complexity, increasing the chance of a brute-force attack. These attacks use trial and error to guess account passwords and take less effort for simple passwords.

It is mandatory that users have strong passwords because an authentication feature is only as strong as its credentials.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/521
)

Use the following guidelines to test whether password policies are configurable: 

__ Try to change the password configuration.__

The test __fails__ if the system does not allow administrators to change the following settings: 

* Password complexity
* Password age and expiry (minimum and maximum)
* Password history
* Optional dictionary of words that cannot be used as passwords

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T2270/",Incomplete,,P408,Password Requirements Are Weak,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Authentication > Authentication Features > Authentication Method > Uses passwords AND
• Changes to authentication (Hidden Answer)"
Testing,T2276,Test to confirm that authorization and authentication controls are in place for access to resources,7,"Users can access data or perform actions without authorization when access control checks are not applied consistently, or at all. This can lead to a wide range of weaknesses that can cause information exposure, denial of service (DoS), and the execution of arbitrary code.

Granting privileges directly to users instead of assigning privileges at the group or role level increases the complexity of access management as the number of users grows. High access management complexity may increase the opportunity for a principal to inadvertently receive or retain excessive privileges.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/285
) - http://cwe.mitre.org/data/definitions/732
) - http://cwe.mitre.org/data/definitions/862
) - http://cwe.mitre.org/data/definitions/863
) - http://cwe.mitre.org/data/definitions/935
)

Follow these guidelines to ensure that the system properly enforces user authentication/authorization: 

- The system is able to identify a user that can be a human, software process, or device.
    - This test __fails__ if the system cannot identify any type of user mentioned above.

- The system is able to authenticate a user and assign roles to them.
    - This test __fails__ if the system cannot authenticate users or assign a role to them

- Per any request made to access a resource, the system should check a user's permission before processing the request.
    - This test __fails__ if the system processes the request without checking a user's permission.

_ All interfaces or pages that require authentication should have logout functionality.
    - This test __fails__ if an interface or page with authentication requirements does not have logout functionality.

- Test to confirm the use of an access control mechanism for the system, such as Role-Based Access Control (RBAC).

- Test to confirm that publicly accessible content containing nonpublic information requires authentication and/or authorization.
    - This test __fails__ if nonpublic content is publicly accessible without authentication/authorization.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T2276/",Incomplete,,P182,Improper Access Control (Authorization),6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Generic services (Hidden Answer) AND
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Generic services (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Generic services (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• Changes to authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Testing,T2277,Test to confirm the use of an account and identity management system,7,"Users can access data or perform actions without authorization when access control checks are not applied consistently, or at all. This can lead to a wide range of weaknesses that can cause information exposure, denial of service (DoS), and the execution of arbitrary code.

Granting privileges directly to users instead of assigning privileges at the group or role level increases the complexity of access management as the number of users grows. High access management complexity may increase the opportunity for a principal to inadvertently receive or retain excessive privileges.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/285
) - http://cwe.mitre.org/data/definitions/732
) - http://cwe.mitre.org/data/definitions/862
) - http://cwe.mitre.org/data/definitions/863
) - http://cwe.mitre.org/data/definitions/935
)

Test to confirm that the account management system is capable of organizing user and service accounts (service accounts are used for software processes and devices). This test __fails__ if the answer to any of following questions is no:

- Can the system add, remove, disable, modify, and activate accounts in accordance with the organization's requirements and procedures?
- Can the system identify and select the types of accounts in use when there is an organizational need?
- Does the system assign account managers for each account?
- Does the system control and manage authenticators that can be any combination of passwords, tokens, and cryptographic keys?
- Can the system create conditions for accounts, assign roles to them, and create groups of accounts? 
- Can the system give permissions to accounts, roles, or groups of accounts? 
- Can the system verify account creation requests based on organizational roles?
- Does the system keep track of account usage and notify account managers within a proper period of time when:
    - Accounts are no longer required.
    - Users are terminated or transferred.
    - Knowledge of individual information system usage or individual account changes is needed.
- Does the system support information access authorization based upon:
    - Valid access authorization.
    - Intended system usage.
    - Attributes as required by the organization, associated missions or other business functions.
- Can the system analyze accounts for compliance with account management requirements that adhere to an organization-defined policy? 
- Can the system create a process for reissuing shared/group account credentials (if deployed) when accounts are removed from the group?
- Are default authenticators or passwords modified after the first installation of the system?
- Are default accounts that are only used for installation removed after the installation of the system?

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T2277/",Incomplete,,P182,Improper Access Control (Authorization),6,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Generic services (Hidden Answer) AND
• Has authentication (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Generic services (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• Has authentication (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• Has authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Authorization > Authorizes Subjects > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Has authentication (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Has authentication (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Has authentication (Hidden Answer) AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• The application handles confidential or sensitive data (Hidden Answer) AND
• New/modified user input OR changes to how user input is used (Hidden Answer)"
Requirements,T165,Do not rely on Unique Device ID values in security controls,9,"The authentication scheme or implementation uses key data elements that are assumed to be immutable (unchangeable), but can be controlled or modified by the attacker.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/302
) - http://cwe.mitre.org/data/definitions/807
) - http://cwe.mitre.org/data/definitions/863
)

Use the following guidelines for Unique Device ID (UDID) values:

- UDIDs, such as Serial Numbers, IMEI, and ICCID might be modified by an attacker. 
    - Do not rely on their values in security controls such as authentication, authorization, or any other technical control that considers them immutable.

- A UDID as a factor of authentication provides no additional security.
    - While it does not weaken the other factors, privacy factors, as well as least access principles suggest that the UDIDs should not to be used for authentication/authorization purposes.

**Note**: There are acceptable uses for UDIDs when it comes to business needs, such as using it as a hint that a user has changed their device. These uses can be considered as long as they are not relied on for security, and the privacy risks or impacts are justified.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T165/",Incomplete,,P199,Authentication Bypass by Assumed-Immutable Data,9,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Has authentication (Hidden Answer) AND
• Changes to authentication (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Has authentication (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Requirements,T612,Detect rooted devices and assess the runtime environment with the aid of SafetyNet Attestation API,4,"If your application runs in an environment that does not check the integrity of the platform, it would be vulnerable to **bootkits** installed on the platform or **modifications** to the firmware of the platform.

A bootkit is an advanced malware that tampers with a system's boot process. It changes BIOS, firmware, master boot record (MBR), volume boot record (VBR), bootloader or any part of the system involved in the boot process and injects some malicious code that loads before the operating system (OS). Since the bootkits precede the OS and their components reside completely outside of the standard file systems, they get full control over the system and are hard to detect by typical means, such as anti-malware tools run by the operating system.

Platform integrity is also important if your application depends on the features provided by the firmware on the platform, especially security controls. An attacker may modify the firmware to circumvent some security controls. For example, on a game console, attackers can flash the firmware to remove code that checks the signatures on games installed on the platform, and can consequently run non-genuine versions of the game.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/353
)

At runtime in your application, check if the following requirements are satisfied for the Android environment that your application runs in:

- The application is not running in an emulator. 
- The device running your application has passed Android compatibility tests.
- Your application has not been modified by an unknown source.
- Your application is not running on a rooted device or a device with a custom ROM.
    - For more details on root detection, read the __Android: Root or Custom Build Detection__ Additional Requirements for this countermeasure.
- Your application is not debuggable.

For checking whether the application is debuggable, use [FLAG_DEBUGGABLE](https://developer.android.com/reference/android/content/pm/ApplicationInfo.html#FLAG_DEBUGGABLE).

For the rest of the above items, use SafetyNet Attestation API. Android Framework provides a SafetyNet Attestation API that helps you assess the APK information of your application and the security and compatibility of the Android environment your application runs in. SafetyNet API examines both software and hardware information on the device.

To use SafetyNet API, follow these steps:

1. Create a Google Play Services API client.
2. Add SafetyNet API to the client.
3. Connect to Google Play Services API.
4. Obtain a single-use token (nonce).
5. Request a compatibility check from SafetyNet API using the nonce.
6. Read the compatibility check response.
7. Verify the compatibility check response and react accordingly if the integrity of the device is not approved.

For more information about using SafetyNet API, as well as code samples, see [Android's SafetyNet documentation](https://developer.android.com/training/safetynet/index.html).

### Android: Root or Custom Build Detection

In Android environment, detecting rooted devices and custom builds/ROMS is important to attest the integrity of the platform. There are many different ways of root detection on Android other than using the SafetyNet API. It is important to use as many of these methods as possible to reduce the risk of application modding.

# Checking existing files
One of the very common methods for root detection is checking the filesystem for the existence of files that are typically found on rooted devices.

Check for app packages of common rooting tools such as Superuser:

```
/system/app/Superuser.apk
```

Also, check for binaries that are usually installed once a device is rooted. For example, check for `su` binary at different locations. `su` is usually found in the following locations:

```
/sbin/su
/system/bin/su
/system/xbin/su
/system/xbin/busybox
/data/local/su
/data/local/xbin/su
```

# Executing `su`
Execute `su` using `Runtime.getRuntime.exec()`. This will throw an `IOException` if `su` is not in `PATH`. Also, try to execute other tools that are typically found on rooted devices like `busybox`.

# Checking running processes
`su` on Android depends on a background process called `daemonsu`. Check for the presence of this process. Its existence is a sign of a rooted device.

Running processes can be enumerated through:

- `ActivityManager.getRunningAppProcesses()` API, or
- the `ps` command, or
- walking through the `/proc` directory

#Checking installed app packages
Check for the existence of application packages that are normally found on rooted devices like:

```
com.thirdparty.superuser
eu.chainfire.supersu
com.noshufou.android.su
com.koushikdutta.superuser
com.zachspong.temprootremovejb
com.ramdroid.appquarantine
```

The Android package manager can be used to obtain a list of installed packages.

# Checking for writable partitions and system directories
In a normal Android environment, system and data directories are usually mounted as read-only. However, on a rooted device, you sometimes find them mounted with read-write permission.

Check for the permissions of system directories by trying to create a file in them.

# Checking `BUILD.TAGS`
One method for checking if the firmware is built customarily is to check for the existence of `test-keys` under `BUILD.TAGS`. If it exists, it is an indication of a custom Android image. Stock Android ROMs from Google are normally built with `release-keys` tag.

# Checking for OTA certificates
Stock Android builds normally use Google Over-The-Air (OTA) certificates for updating Android. Missing OTA certificates usually means that there is a custom ROM installed which is updated through other means. Check for the existence of:

```
/etc/security/otacerts.zip
```

Reference: [OWASP Mobile Security Testing Guide](https://www.owasp.org/index.php/OWASP_Mobile_Security_Testing_Guide)


See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T612/",Incomplete,,P809,Not Checking Boot/Platform Integrity,5,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• Changes to servers/frameworks and/or configuration (Hidden Answer) AND
• This is a software project (Hidden Answer)"
Testing,T95,Test for the absence of 'Remember Me' features,4,"Inactive and unattended sessions can allow unauthorized users to access resources without permission. If a session expiration feature is not used, accounts that have not been logged out of can be at risk of being hijacked, even if the user is only away temporarily.

The Web Application Security Consortium (WASC) explains that ""... insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.""

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/613
) - http://cwe.mitre.org/data/definitions/930
) - http://cwe.mitre.org/data/definitions/936
)

Use the following guidelines to test for persistent sessions:

1. Inspect the login page for any ""remember me"" feature.

    ![image of remember me](https://preview.sdelements.com/static/screenshots/exampleRememberMe.jpg)  
*Example of a remember me functionality*  

2. Determine if this feature causes a user to stay logged in for a long time. This test __fails__ if the ""remember me"" feature causes a user to not be logged out of a session after a long time, or after closing the browser.

3. If remember me feature is needed, try to visit critical parts of the application such as pages for the change of passwords, change of profile, or pages for viewing personal data. If the application does not require re-authentication for performing those actions, this test fails.


See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T95/",Incomplete,,P504,Insufficient Session Expiration,3,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Session Management > Has Session Management > Yes AND
• Changes to session management (Hidden Answer)"
Requirements,T156,Validate certificate and its chain of trust properly,7,"If a system does not follow the chain of trust of an X509 certificate to a root Certificate Authority (CA), the certificate is not trustworthy. Certificate trust comes from a chain of intermediate CAs and ends with a root CA.

A certificate chain of trust is only secure if all components of the chain are properly checked and validated. The client might completely miss or improperly follow the chain of trust, and validate host-specific data, certificate expiration, or certificate revocation. This will allow an attacker to persuade the client to trust a malicious SSL certificate, essentially allowing a man-in-the-middle attack, among others.

The certificate validation process should also include checking that the certificate is not revoked or expired (certificate's revocation status).

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/295
) - http://cwe.mitre.org/data/definitions/296
) - http://cwe.mitre.org/data/definitions/297
) - http://cwe.mitre.org/data/definitions/298
) - http://cwe.mitre.org/data/definitions/299
)

Validate all certificates and their chains of trust, such as X509 certificates. Any application using __SSL__ or __public key infrastructure (PKI)__ based authentication must do the following at the very least:

 * Follow the chain of trust for certificate validation.
    * Verify that each node in the chain has a valid certificate by itself and has the authority to sign the child certificate.

 * Validate host specific data of certificates to make sure it matches the expected destination.
    * For instance, make sure the Common Name matches the expected value.

 * Validate the expiry date of the certificate.

 * Check certificate revocation.
    * Use certificate revocation lists (CRLs) or online certificate status protocol (OCSP).
 
 * Re-check certificate revocation periodically after the initial revocation check. 
    * You can do this by either:
        * Re-checking the revocation list for every connection (avoid caching).
        * Setting the cache to expire after a period of time (one week, or 24 hours in more security-sensitive environments).
 
 * Do not accept or initiate SSL connections for which the certificate misses one or more of the validation steps above.

__Note__: Authentication/SSL systems should be designed and implemented in a way that certificate validation, revocation status verification, and user authentication do not impose impeding latency on the system.

Libraries like OpenSSL or operating system interfaces might automatically perform certificate validation.

 * Ensure you review the specifications of the specific SSL library/interface and make sure that proper settings/parameters are used to activate all the checks listed above.

 * Handle all potential warnings and errors that might arise from any of these checks failing.

 * Use the latest versions of your library and check for vulnerabilities in the specific version of the library/interface that you are using that might be used to bypass the validation process.

As the number of certificate authorities grows, there is more and more risk associated with certificates. Forging valid certificates by compromised signing authorities and social engineering for impersonation during the certificate issuing process are becoming increasingly common. To reduce the risk associated with certificate-based trusting you may wish to include the following additional measures:

 * Only use reputable signing authorities for your own certificates.

 * Ensure that clients validate the specific signing authority your organization uses.
    * For example, by hard-coding and checking the fingerprint of the signing authorities.
 
 * Only use Extended Validation (EV) certificates and limit accepted certificates to EV certificates on the client side.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T156/",Incomplete,,P716,Certificate Validation Issues,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Authentication > Requires Server-to-Server Authentication > Yes AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• Changes to servers/frameworks and/or configuration (Hidden Answer)"
Testing,T405,Verify that broad paths and domains are not set on session cookies,4,"When setting a session cookie, we can specify values, such as the name and value of the cookie, as well as its path and domain. The domain that is specified should be the same or a parent of the original domain that the response comes from.

For example, if we have sent a request to _mydomain.domains.com_, the website can request setting the cookie to _domains.com_. In that case, the cookie values will be sent along with any request sent to _domain.com_ and not only _mydomain.domains.com_. 

Therefore a page on _anotherdomain.domains.com_ will also have access to that cookie (both for reading or modification) which opens the door to various vulnerabilities, such as the ones enabled by cross site scripting on _anotherdomain.domains.com_. Similarly if the path is set to ""/"", the cookies are available to the entire domain rather than a particular directory on the domain.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/79
) - http://cwe.mitre.org/data/definitions/811
)

Follow these guidelines to verify that the paths and domains of the cookies are not broader than required:

- Find the lines of code that set session cookies.

- Check if a path or domain is specified for the cookies.
    - If a path or domain is set, verify that the domain and path are not overly broad.
    - The path and domain must only enable the justifiable paths and domains to access the cookie.
    - For example, if the domain is _A.domains.com_, the domain must not be set to _domains.com_ without proper justification.

This test __fails__ if the domain and name are too broad.

You can also use the browser tools to check the path and domain of cookies (such as Chrome Developers tools).

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T405/",Incomplete,,P767,Setting broad domains or paths on session cookies,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Features and Functions > Session Management > Has Session Management > Yes AND
• Changes to session management (Hidden Answer)
-----------------------------------------------------------------------------------------------------------
• Features and Functions > Session Management > Has Session Management > Yes AND
• New transactions / use cases (Hidden Answer)"
Activities,T1894,Perform a vendor security assessment,9,"Without a proper vendor security assessment, a software vendor may be able to introduce various intentional or unintentional vulnerabilities, backdoors, or sensitive data disclosure to the software.

Follow these guidelines to perform a vendor security assessment:

1. Evaluate what type of data will be accessed by the vendor. Classify the data according to its importance to the business, and security risk. If a complete data or asset classification model is in place, list the security requirements for that type of data class. These requirements need to be translated into requirements for the vendor to comply.
2. Request recent independent evaluations of the vendor's security controls, such as a risk assessment, compliance audit report, or security attestation certificate. Use these sources as inputs for further assessment of the current level of the vendor's risk and its service or solution.
3. Perform a risk assessment of vendor using a [standard vendor security questionnaire](/library/glossary/G111/) to evaluate the overall level of security and risk. If the risk is low or deemed acceptable, proceed with the vendor selection. If an unacceptable risk is identified or if you are unsure, perform a detailed risk assessment of the vendor solution using a Threat and Risk Assessment (TRA) methodology.
4. Identify all significant risks, gaps, and vulnerabilities. Rank them based on their likelihood of being exploited, and potential impact.
5. Work with the vendor directly, or indirectly via the business or procurement function liaising with the vendor, to address all risks identified.
6. Once all identified risks have been mitigated to an acceptable level, establish [contract clauses](/library/glossary/G110/) to ensure that the vendor will maintain their current level of security (or better) over time, and inform the organization if a data breach is detected or suspected. 
7. Establish standard security clauses to be included in all supplier or vendor agreements. 
8. Document all remaining and residual risks in a risk register, and ensure that they are signed off by a senior business manager. Monitor these risks and review them annually.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T1894/",Incomplete,,P1437,Lack of vendor security assessment,9,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• NOT Critical (Hidden Answer) AND
• NOT High (Hidden Answer) AND
• NOT Medium (Hidden Answer) AND
• NOT Low (Hidden Answer) AND
• NOT Very Low (Hidden Answer) AND
• NOT Unclassified (Hidden Answer) AND
• Changes to processes/activities (Hidden Answer) AND
• Application General > Context and Characteristics > Application's Context and Characteristics > Include general countermeasures in the Activity phase (process engineering tasks) in this project"
Deployment,T2425,Encrypt Kinesis streams on the server (Amazon Kinesis Data Streams),8,"Many communication channels can be sniffed, or eavesdropped on, by attackers during data transmission. For example, unencrypted network traffic in clear text can be sniffed by any attacker who has access to a network interface. This makes unsecured communication channels easy for attackers to exploit.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/311
) - http://cwe.mitre.org/data/definitions/319
) - http://cwe.mitre.org/data/definitions/930
) - http://cwe.mitre.org/data/definitions/934
) - http://cwe.mitre.org/data/definitions/1028
) - http://cwe.mitre.org/data/definitions/1029
)

Encrypt all Kinesis stream data with server-side encryption:

1. Select the stream in the Data Streams console.
2. Choose the __Configuration__ tab.
3. In the Encryption section, choose __Edit__.
4. Turn on the __Enable server-side encryption__ setting.
5. Choose the type of key:
    - Select __Use AWS managed CMK__ to use a key that Kinesis generates automatically and manages transparently. This choice simplifies application setup, because there's no need to configure key policies as long as the principals that need to access the Kinesis stream are part of the same AWS account.
    - Select __Use customer-managed CMK__ to use a KMS key that you own. This choice gives you the ability to revoke keys in the case of an intrusion, and to control other aspects of key policy. It also allows you to configure access for principals from another AWS account. However, more policy setup is required. Your Kinesis stream producers must have the `kms:GenerateDataKey` permission and your Kinesis stream consumers must have the `kms:Decrypt` permission. If you use a customer-managed key, make sure to verify that your application is successfully able to write and read to the stream. You can verify success by looking at the metrics `PutRecord.Success`, `PutRecords.Success`, and `GetRecords.Success` in CloudWatch.
6. Choose __Save changes__.

## Note
Kinesis encrypts data automatically, before it writes it to the Kinesis stream storage layer. You should __not__ perform manually encryption and decryption in the application layer unless absolutely necessary for an exceptional business case.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T2425/",Incomplete,,P216,Clear Text and Unencrypted Transmission of Information,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure’s applicable rules and Project Survey criteria were met but it will be removed once the New Content Updates have been accepted.

"
Testing,T2427,Verify Kinesis streams are encrypted on the server (Amazon Kinesis Data Streams),8,"Many communication channels can be sniffed, or eavesdropped on, by attackers during data transmission. For example, unencrypted network traffic in clear text can be sniffed by any attacker who has access to a network interface. This makes unsecured communication channels easy for attackers to exploit.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/311
) - http://cwe.mitre.org/data/definitions/319
) - http://cwe.mitre.org/data/definitions/930
) - http://cwe.mitre.org/data/definitions/934
) - http://cwe.mitre.org/data/definitions/1028
) - http://cwe.mitre.org/data/definitions/1029
)

Verify all Kinesis stream data are protected with server-side encryption:

1. Select the stream in the Data Streams console.
2. Choose the __Configuration__ tab.
3. In the Encryption section, verify the __Enable server-side encryption__ setting is enabled.
5. As the type of key:
    - __Use AWS managed CMK__  should be selected to use a key that Kinesis generates automatically and manages transparently. 
    - __Use customer-managed CMK__ should be selected to use a KMS key that you own. 


## Note
Kinesis encrypts data automatically, before it writes it to the Kinesis stream storage layer. Verify __not__ perform manually encryption and decryption in the application layer unless absolutely necessary for an exceptional business case.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T2427/",Incomplete,,P216,Clear Text and Unencrypted Transmission of Information,7,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure’s applicable rules and Project Survey criteria were met but it will be removed once the New Content Updates have been accepted.

"
Testing,T424,Test that copying is disabled on text fields with sensitive data (Android),4,"Sensitive data copied onto the clipboard can be accessed by other applications which normally can read the content of shared clipboard of Android devices.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/276
) - http://cwe.mitre.org/data/definitions/732
)

Follow these steps to test that copying to the clipboard is disabled for Android text fields with sensitive data:

1. Select a text field that handles sensitive data and is supposed to be protected against clipboard leaks.

2. Enter text into a text field. A text field that handles confidential data is best, such as a password text field.

3. Long-press and try to select/copy the text onto the clipboard. This should not be possible.

This test __fails__ if you can copy text from a password field onto a clipboard.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T424/",Incomplete,,P771,Leak of sensitive data through Android clipboard,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
Development,T410,Manage use of Android third-party keyboards with sensitive data,4,"Android third party keyboards can capture the entire text that is entered using them, including sensitive data and user passwords. They can then send this data over the network with sufficient permissions. Most keyboards ask for network permissions to improve user experience. Therefore, it is not uncommon for a keyboard to request Internet access permission.

More information at the Common Weaknesses Enumeration=
 - http://cwe.mitre.org/data/definitions/200
) - http://cwe.mitre.org/data/definitions/201
)

Use the following guidelines for managing sensitive data with Android third-party keyboards:

- Check the active keyboard whenever sensitive data is entered into an Android device. For example, when entering data into an editable text box.

- If the keyboard is not an established and well-known Android keyboard (in an allowlist), disable the action or show a warning to make the user aware of the risks.

See the How-to for this countermeasure for more details.

See the original solution in SDElements here= https://preview.sdelements.com/library/tasks/T410/",Incomplete,,P770,Leak of sensitive data through Android third party keyboards,4,Organisation Architecture,ArmorCode,qa.armorcode.io,,,"This Countermeasure meets the following set of applicable rules and Project Survey criteria:

• Platform and Language > Platform/Operating System > Platform > Android AND
• The application handles confidential or sensitive data (Hidden Answer) AND
• New transactions / use cases (Hidden Answer)"
