Report Date: 10-10-2022 04:05:43 GMT
Customer: ArmorCode Inc
~~~SELECTED FILTERS~~~
~~~NOTE~~~
Affected resource column data might be trimmed for better visibility
* indicates the security group is unused
State : OPEN
Critical Count,High count,Medium Count,Low Count
6,24,19,155
Alert-Id,Rule-Id,Jira-Id,ServiceNow-Id,Severity,Description,Type,Compliance Tag,Alert Last Updated,Provider,Account,Affected Resources : First Seen : LastModifiedBy : SuppressNotes,Mitre Attack Technique Name,Mitre Attack Technique Id,Mitre Attack Technique Url
A-000203,,,,LOW,Login from a new location,Anomaly,,2022-02-04 05:58:52,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 4a3f39df-66a3-4d13-b4fe-35bba0a89e48
			    Account Id          : 034025401910
			    User Name           : devqa-darwin-admin
			    Login Type          : Console
			    Login IP            : 122.173.28.95
			    Previous Login IP   : 35.155.178.84
			    Login Location      : Chandigarh-India (ISP : BHARTI)
			    Previous Location   : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    User Agent          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Safari/537.36
			    Event Time          : 2022-02-04 05:58:26 +0000
			    Previous Event Time : 2022-02-01 05:22:19 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000243,,,,LOW,2844 % increase in outbound traffic on destination port '443',Anomaly,,2022-03-24 15:10:04,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-03-24 14:30:00 to 2022-03-24 15:00:00
Total Traffic  : 9 GB
Expected Traffic  : 305 MB
Variation   : 2844 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.15.199, 10.0.20.219, 172.31.24.116, 10.0.49.106]
Top Destination IPs   : [104.18.123.25, 104.18.122.25, 104.18.124.25, 104.18.125.25, 104.18.121.25]: : :",,,
A-000239,,,,LOW,59383 % increase in outbound traffic on destination port '443',Anomaly,,2022-03-16 16:40:02,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-03-16 16:00:00 to 2022-03-16 16:30:00
Total Traffic  : 12 GB
Expected Traffic  : 21 MB
Variation   : 59383 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.24.116, 10.0.49.106, 10.0.36.216, 10.0.91.140]
Top Destination IPs   : [104.18.122.25, 104.18.124.25, 104.18.121.25, 104.18.125.25, 104.18.123.25]: : :",,,
A-000237,,,,LOW,Login from a new location,Anomaly,,2022-03-15 10:05:44,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : dbab25c8-f485-4ca4-b7c6-6401bbf025f8
			    Account Id          : 034025401910
			    User Name           : devqa-hs-admin
			    Login Type          : Console
			    Login IP            : 223.176.65.83
			    Previous Login IP   : 117.214.102.141
			    Login Location      : Chennai-Tamil Nadu-India (ISP : Bharti Airtel)
			    Previous Location   : Cuttack-Oregon-India (ISP : Bharat Sanchar Nigam Ltd)
			    User Agent          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36
			    Event Time          : 2022-03-15 10:03:36 +0000
			    Previous Event Time : 2022-03-14 17:01:37 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000230,,,,LOW,28523 % increase in outbound traffic on destination port '443',Anomaly,,2022-02-27 09:10:01,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-02-27 08:30:00 to 2022-02-27 09:00:00
Total Traffic  : 4 GB
Expected Traffic  : 15 MB
Variation   : 28523 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.24.116, 10.0.49.106, 10.0.36.216, 10.0.91.140]
Top Destination IPs   : [104.18.124.25, 104.18.121.25, 104.18.123.25, 104.18.125.25, 104.18.122.25]: : :",,,
A-000231,,,,LOW,35519 % increase in outbound traffic on destination port '443',Anomaly,,2022-02-28 09:10:04,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-02-28 08:30:00 to 2022-02-28 09:00:00
Total Traffic  : 5 GB
Expected Traffic  : 15 MB
Variation   : 35519 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.24.116, 10.0.49.106, 10.0.36.216, 10.0.91.140]
Top Destination IPs   : [104.18.124.25, 104.18.121.25, 104.18.125.25, 104.18.123.25, 104.18.122.25]: : :",,,
A-000232,,,,LOW,35626 % increase in outbound traffic on destination port '443',Anomaly,,2022-03-02 09:10:05,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-03-02 08:30:00 to 2022-03-02 09:00:00
Total Traffic  : 7 GB
Expected Traffic  : 20 MB
Variation   : 35626 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.24.116, 10.0.20.219, 10.0.49.106, 10.0.36.216]
Top Destination IPs   : [104.18.121.25, 104.18.122.25, 104.18.123.25, 104.18.125.25, 104.18.124.25]: : :",,,
A-000228,,,,LOW,25450 % increase in outbound traffic on destination port '443',Anomaly,,2022-02-24 15:40:02,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-02-24 15:00:00 to 2022-02-24 15:30:00
Total Traffic  : 7 GB
Expected Traffic  : 27 MB
Variation   : 25450 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 172.31.15.199, 10.0.20.219, 172.31.24.116, 10.0.36.216]
Top Destination IPs   : [104.18.125.25, 104.18.124.25, 104.18.121.25, 104.18.123.25, 104.18.122.25]: : :",,,
A-000162,,,,HIGH,Login from a new location,Anomaly,,2021-09-14 12:46:32,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 7522acf6-4179-4351-b65f-d0b0e1ce3aa8
				Account Id          : 034025401910
			    Role                : devqa-lk-admin
			    Login Type          : API
			    Login IP            : 3.142.42.188
			    Previous Login IP   : 152.57.73.190
			    Login Location      : Dublin-Ohio-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Nagpur-Maharashtra-India (ISP : Reliance Jio Infocomm Limited)
			    User Agent          : EC2ConsoleFrontend, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.4.134-73.228.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.292-b10 java/1.8.0_292 vendor/Oracle_Corporation cfg/retry-mode/legacy
			    Event Time          : 2021-09-14 12:44:50 +0000
			    Previous Event Time : 2021-09-14 12:31:23 +0000
			    Assumed Role        : False: : :",,,
A-000141,,,,LOW,6932 % increase in outbound traffic on destination port '443',Anomaly,,2021-07-26 07:40:06,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2021-07-26 07:00:00 to 2021-07-26 07:30:00
Total Traffic  : 4 GB
Expected Traffic  : 57 MB
Variation   : 6932 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [172.31.30.156, 172.31.33.102, 10.0.19.124, 10.0.5.141, 172.31.15.166]
Top Destination IPs   : [96.7.17.140, 52.218.221.49, 52.218.193.169, 52.218.196.153, 35.224.73.200]: : :",,,
A-000144,,,,LOW,11357 % increase in outbound traffic on destination port '443',Anomaly,,2021-08-04 13:40:03,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2021-08-04 13:00:00 to 2021-08-04 13:30:00
Total Traffic  : 3 GB
Expected Traffic  : 28 MB
Variation   : 11357 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [172.31.10.21, 172.31.33.102, 10.0.19.124, 10.0.5.141, 172.31.25.88]
Top Destination IPs   : [44.239.193.54, 54.212.224.226, 44.238.181.16, 52.218.232.153, 35.224.73.200]: : :",,,
A-000173,,,,LOW,Login from a new location,Anomaly,,2021-11-10 06:12:46,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : c308e565-5afc-4588-b56c-23425c709e02
			    Account Id          : 034025401910
			    User Name           : devqa-abhinav-admin
			    Login Type          : Console
			    Login IP            : 122.168.84.3
			    Previous Login IP   : 123.201.67.213
			    Login Location      : Indore-Madhya Pradesh-India (ISP : BHARTI)
			    Previous Location   : Ahmedabad-Gujarat-India (ISP : YOU Broadband & Cable India Ltd)
			    User Agent          : Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36
			    Event Time          : 2021-11-10 06:10:32 +0000
			    Previous Event Time : 2021-11-03 18:32:40 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000124,,,,LOW,Login from a new location,Anomaly,,2021-05-03 05:32:17,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : acdec17c-57ea-47b9-b7d2-4cb2cdf2b006
			    Account Id          : 034025401910
			    User Name           : devqa-hs-admin
			    Login Type          : Console
			    Login IP            : 106.51.233.157
			    Previous Login IP   : 52.36.171.120
			    Login Location      : Bengaluru-Karnataka-India (ISP : ACT Fibernet)
			    Previous Location   : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0
			    Event Time          : 2021-05-03 05:25:20 +0000
			    Previous Event Time : 2021-04-26 10:41:49 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000125,,,,CRITICAL,Login from a new location,Anomaly,,2021-05-03 10:18:19,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 5d68d349-0c3f-48aa-bd25-634224798455
				Account Id          : 034025401910
			    Role                : devqa-mp-admin
			    Login Type          : API
			    Login IP            : 49.36.144.104
			    Previous Login IP   : 54.213.100.96
			    Login Location      : Dehradun-Uttarakhand-India (ISP : Reliance Jio Infocomm Limited)
			    Previous Location   : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    User Agent          : console.ec2.amazonaws.com
			    Event Time          : 2021-05-03 10:10:59 +0000
			    Previous Event Time : 2021-05-03 10:08:49 +0000
			    Assumed Role        : False: : :",,,
A-000126,,,,LOW,Frequent logins from different locations,Anomaly,,2021-05-05 15:23:50,AWS,Armorcode-dev-qa,"Too many logins from various locations that doesn't match their historical pattern
				Event Id            : 15b2894e-7ebb-441a-a141-dc50f7dfc9e7
			    Account Id          : 034025401910
			    User Name           : devqa-sp-admin
			    Login Type          : Console
			    Login IP            : 208.65.109.53
			    Previous Login IP   : 103.139.56.151
			    Login Location      : Palo Alto-California-United States (ISP : Telx)
			    Previous Location   : Kanpur-Uttar Pradesh-India (ISP : Avjr Broadband Services)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36
			    Event Time          : 2021-05-05 15:17:59 +0000
			    Previous Event Time : 2021-04-29 05:29:35 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000152,,,,HIGH,Login from a new location,Anomaly,,2021-08-10 06:37:12,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 36abf2cc-639e-42bd-9095-77bff2285890
				Account Id          : 034025401910
			    Role                : devqa-yj-admin
			    Login Type          : API
			    Login IP            : 38.75.136.147
			    Previous Login IP   : 103.115.128.190
			    Login Location      : Los Angeles-California-United States (ISP : Cogent Communications)
			    Previous Location   : Amravati-Maharashtra-India (ISP : Gigaline Teleservices Opc Private Limited)
			    User Agent          : aws-internal/3 aws-sdk-java/1.11.1030 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.302-b08 java/1.8.0_302 vendor/Oracle_Corporation cfg/retry-mode/legacy
			    Event Time          : 2021-08-10 06:34:56 +0000
			    Previous Event Time : 2021-08-06 06:33:11 +0000
			    Assumed Role        : False: : :",,,
A-000102,,,,LOW,Frequent logins from different locations,Anomaly,,2021-03-10 19:26:54,AWS,Armorcode-dev-qa,"Too many logins from various locations that doesn't match their historical pattern
				Event Id            : 5fe9ada4-20ce-433a-aa2f-ddc25e86348d
			    Account Id          : 034025401910
			    User Name           : devqa-sp-admin
			    Login Type          : Console
			    Login IP            : 208.65.109.53
			    Previous Login IP   : 103.215.148.104
			    Login Location      : Palo Alto-California-United States (ISP : Telx)
			    Previous Location   : Pune-Maharashtra-India (ISP : Cloudnet Communications Pvt Ltd)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36
			    Event Time          : 2021-03-10 19:13:52 +0000
			    Previous Event Time : 2021-03-03 17:28:27 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000104,,,,LOW,Frequent logins from different locations,Anomaly,,2021-03-16 06:42:33,AWS,Armorcode-dev-qa,"Too many logins from various locations that doesn't match their historical pattern
				Event Id            : e8f30b1a-cd41-415c-b5bf-5ac9ad992f7c
			    Account Id          : 034025401910
			    User Name           : devqa-mayank.pande-admin
			    Login Type          : Console
			    Login IP            : 44.233.173.77
			    Previous Login IP   : 116.74.208.220
			    Login Location      : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Pune-Maharashtra-India (ISP : Hathway IP over Cable Internet Access)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.82 Safari/537.36
			    Event Time          : 2021-03-16 06:36:00 +0000
			    Previous Event Time : 2021-03-15 05:25:56 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000093,,,,LOW,Login from a new location,Anomaly,,2021-02-18 12:42:29,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 5c154db6-dbf1-45c0-8f67-0ff1c324f923
			    Account Id          : 034025401910
			    User Name           : devqa-mayank.pande-admin
			    Login Type          : Console
			    Login IP            : 44.233.97.176
			    Previous Login IP   : 116.74.208.220
			    Login Location      : Portland-Oregon-United States (ISP : Amazon.com, Inc.)
			    Previous Location   : Pune-Maharashtra-India (ISP : Hathway IP over Cable Internet Access)
			    User Agent          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36
			    Event Time          : 2021-02-18 12:35:16 +0000
			    Previous Event Time : 2021-02-15 07:11:14 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000159,,,,LOW,1690 % increase in outbound traffic on destination port '443',Anomaly,,2021-08-31 12:40:41,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2021-08-31 12:00:00 to 2021-08-31 12:30:00
Total Traffic  : 2 GB
Expected Traffic  : 140 MB
Variation   : 1690 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [172.31.10.21, 172.31.33.102, 10.0.25.211, 172.31.11.115, 10.0.19.124]
Top Destination IPs   : [54.186.194.20, 35.82.241.96, 52.33.102.20, 52.218.242.225, 52.16.49.167]: : :",,,
A-000248,,,,LOW,Login from a new location,Anomaly,,2022-04-05 06:05:38,AWS,Armorcode-dev-qa,"New Unrecognized Login Location
				Event Id            : 8c1bcb66-31ab-4d19-bd49-e0382487c02c
			    Account Id          : 034025401910
			    User Name           : devqa-deepak-admin
			    Login Type          : Console
			    Login IP            : 49.36.222.137
			    Previous Login IP   : 111.223.27.187
			    Login Location      : Dehradun-Uttarakhand-India (ISP : Reliance Jio Infocomm Limited)
			    Previous Location   : National Capital Territory of Delhi-India (ISP : Benchmark Infotech)
			    User Agent          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36
			    Event Time          : 2022-04-05 06:04:28 +0000
			    Previous Event Time : 2022-03-02 05:32:41 +0000
			    Assumed Role        : False
			    MFA Enabled         : True: : :",,,
A-000255,,,,LOW,43441 % increase in outbound traffic on destination port '443',Anomaly,,2022-04-18 08:10:04,AWS,Armorcode-dev-qa,"Account Id  : 034025401910
Timeframe  : 2022-04-18 07:30:00 to 2022-04-18 08:00:00
Total Traffic  : 4 GB
Expected Traffic  : 10 MB
Variation   : 43441 %
increaseDestination Port   : 443
Destination Protocol   : HTTPS
Top Originating IPs   : [10.0.19.124, 10.0.20.219, 172.31.24.116, 10.0.49.106, 10.0.36.216]
Top Destination IPs   : [104.18.125.25, 104.18.122.25, 104.18.123.25, 104.18.121.25, 104.18.124.25]: : :",,,
A-000213,AR-607,,,LOW,Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:09,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Data Manipulation,T1565,https://attack.mitre.org/techniques/T1565/
A-000227,AR-606,,,LOW,Ensure a log metric filter and alarm exist for AWS Management Console authentication failures,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:12,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
A-000225,AR-604,,,LOW,Ensure a log metric filter and alarm exist for IAM policy changes,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:11,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Account Manipulation,T1098,https://attack.mitre.org/techniques/T1098/
A-000224,AR-557,,,LOW,Ensure CloudTrail logs are encrypted at rest using KMS CMKs,Policy,CIS 1.3,2022-02-24 14:35:11,AWS,Armorcode-dev-qa,"KMS key not defined for Cloud Trail: 'CT-AvidSecure : All (Region)'.  : 2022-02-24 14:35:08 : Not Available : 
",Data from Cloud Storage Object,T1530,https://attack.mitre.org/techniques/T1530/
A-000214,AR-610,,,LOW,Ensure a log metric filter and alarm exist for security group changes,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:09,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
A-000216,AR-611,,,LOW,Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL),Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:09,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Valid Accounts,T1078,https://attack.mitre.org/techniques/T1078/
A-000219,AR-614,,,LOW,Ensure a log metric filter and alarm exist for VPC changes,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:10,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Application Layer Protocol,T1071,https://attack.mitre.org/techniques/T1071/
A-000220,AR-613,,,LOW,Ensure a log metric filter and alarm exist for route table changes,Policy,"CIS 1.3,HIPAA,HIPAA final",2022-02-24 14:35:10,AWS,Armorcode-dev-qa,"No metric filters were found for Account: '034025401910'.  : 2022-02-24 14:35:08 : Not Available : 
",Application Layer Protocol,T1071,https://attack.mitre.org/techniques/T1071/
