Vulnerability Name,Vulnerability ID,Category,Rule Name,Severity,Status,Number of Events,First Seen,First Seen Datetime,Last Seen,Last Seen Datetime,Application Name,Application ID,Application Code,CWE ID,Request Method,Request Port,Request Protocol,Request Version,Request URI,Request Qs,Request Body,Vulnerability instances uuids
Forms Without Autocomplete Prevention detected,RH42-1DYS-PYAU-U5OU,Caching,Forms Without Autocomplete Prevention,Note,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/525.html,GET,0,http,1.0,/WebGoat/login.mvc,,,RH42-1DYS-PYAU-U5OU
Anti-Caching Controls Missing detected,7F5H-6RGX-3C3S-RFXA,Caching,Anti-Caching Controls Missing,Note,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/525.html,GET,0,http,1.0,/WebGoat/attack,Screen=218322538&menu=400&from=ajax&newAccount=asdfasdf&amount=0&confirm=Transferring,,7F5H-6RGX-3C3S-RFXA
"XPath Injection from ""Password"" Parameter, ""Username"" Parameter on ""/WebGoat/attack"" page",GT9S-YFB2-L4H0-92RU,Injection,XPath Injection,High,Reported,6,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/643.html,POST,0,http,1.0,/WebGoat/attack,Screen=882451674&menu=1100,Username=dnygn874&Password=deksh156&SUBMIT=sdtdj149,GT9S-YFB2-L4H0-92RU
Overly Long Session Timeout in /WEB-INF/web.xml,4TZP-CQ3H-UMCI-Y7ZP,Session Management,Overly Long Session Timeout,Low,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/613.html,,,,,,,,4TZP-CQ3H-UMCI-Y7ZP
"Cross-Site Scripting from ""field1"" Parameter, ""field2"" Parameter, ""field3"" Parameter and 4 Other Sources on ""/WebGoat/attack"" page",RNZM-O3RF-WVSW-SEXF,XSS,Cross-Site Scripting,Medium,Reported,23,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1574219258&menu=1700,field1=owymf765&field2=nhine804&field3=gzhno173&field4=krueg653&field5=hiyah493&field6=vbbhs664&field7=ckium164&=uiqvy908,RNZM-O3RF-WVSW-SEXF
"Cross-Site Scripting from URI on ""/WebGoat/attack"" page",T971-IA8H-MBZJ-JLW2,XSS,Cross-Site Scripting,Medium,Reported,20,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,GET,0,http,1.0,/WebGoat/attack,Screen=218322538&menu=400,,T971-IA8H-MBZJ-JLW2
"Log Injection from ""Screen"" Parameter, ""menu"" Parameter, Parameter Name on ""/WebGoat/attack"" page",ZZNR-PMO2-77CV-OXJ0,Injection,Log Injection,Note,Reported,21,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,GET,0,http,1.0,/WebGoat/attack,Screen=803158781&menu=900,,ZZNR-PMO2-77CV-OXJ0
Parameter Pollution detected,KA3V-VGQP-BAKN-CKXH,Caching,Parameter Pollution,Note,Reported,0,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/235.html,GET,0,http,1.0,/WebGoat/attack,Screen=68584332&menu=900,,KA3V-VGQP-BAKN-CKXH
"Cross-Site Scripting from ""field1"" Parameter on ""/WebGoat/attack"" page",V3EQ-7KXM-HNOU-M43A,XSS,Cross-Site Scripting,Medium,Reported,7,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1129417221&menu=400,PRC1=buxol358&QTY1=pejya704&TOT1=vusim381&PRC2=xaedl986&QTY2=ddbju969&TOT2=fzjxt228&PRC3=syhmr428&QTY3=qjmsj385&TOT3=ekizf747&PRC4=oqaty184&QTY4=spijq773&TOT4=ddoha944&SUBTOT=kdefo391&GRANDTOT=mdrls170&field2=eqqxq791&field1=xvbve005&SUBMIT=pvljq651,V3EQ-7KXM-HNOU-M43A
"Cross-Site Scripting from ""Username"" Parameter on ""/WebGoat/attack"" page",0IG2-PWF3-21YG-UH5Q,XSS,Cross-Site Scripting,Medium,Reported,10,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1382523204&menu=900,Username=nbqkc467&SUBMIT=huady106,0IG2-PWF3-21YG-UH5Q
"Log Injection from ""SUBMIT"" Parameter, ""Screen"" Parameter, ""UserSelect"" Parameter and 4 Other Sources on ""/WebGoat/attack"" page",V89C-YLQT-8RDO-UFZX,Injection,Log Injection,Note,Reported,43,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=330535848&menu=400,userID=102&UserSelect=0&answer=asdfasdf&SUBMIT=Submit+Answer,V89C-YLQT-8RDO-UFZX
"Log Injection from ""SUBMIT"" Parameter, ""Screen"" Parameter, ""cs_csrf_tkn"" Parameter and 4 Other Sources on ""/WebGoat/attack"" page",JMTH-50GP-PKYF-LJZF,Injection,Log Injection,Note,Reported,49,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=2078372&menu=900,title=asdfasdfasdf&message=dsfasdfasdfasdfasdf&SUBMIT=Submit&cs_csrf_tkn=RZYZBPOH,JMTH-50GP-PKYF-LJZF
"Log Injection from ""SUBMIT"" Parameter, ""Screen"" Parameter, ""Username"" Parameter and 2 Other Sources on ""/WebGoat/attack"" page",GXUX-AB96-TCNO-Y5ZW,Injection,Log Injection,Note,Reported,35,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=1382523204&menu=900,Username=mrjen213&SUBMIT=onham909,GXUX-AB96-TCNO-Y5ZW
"Cross-Site Scripting from ""Resource"" Parameter, ""User"" Parameter on ""/WebGoat/attack"" page",F73U-QUFD-9A87-HLKT,XSS,Cross-Site Scripting,Medium,Reported,10,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1708534694&menu=200,User=Moe&Resource=Public+Share&SUBMIT=Check+Access&cs_csrf_tkn=RZYZBPOH,F73U-QUFD-9A87-HLKT
"Cross-Site Scripting from ""Password"" Parameter, ""Username"" Parameter on ""/WebGoat/attack"" page",T5IX-2KWK-J9E6-W9H7,XSS,Cross-Site Scripting,Medium,Reported,8,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1036971378&menu=1200,Username=flrfb771&Password=ittdf183&SUBMIT=dwrfd323,T5IX-2KWK-J9E6-W9H7
"Log Injection from ""SUBMIT"" Parameter, ""Screen"" Parameter, ""menu"" Parameter and 3 Other Sources on ""/WebGoat/attack"" page",S80P-YDRF-AN4F-HE6S,Injection,Log Injection,Note,Reported,42,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=803158781&menu=900,title=mdygl830&message=rjhru130&SUBMIT=thzgl379,S80P-YDRF-AN4F-HE6S
"Log Injection from ""Screen"" Parameter, ""action"" Parameter, ""employee_id"" Parameter and 4 Other Sources on ""/WebGoat/attack"" page",GDJ5-ZU8N-ES06-2LDB,Injection,Log Injection,Note,Reported,43,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/93.html,POST,0,http,1.0,/WebGoat/attack,Screen=611366032&menu=900&stage=1,employee_id=101&password=webgoat&action=Login,GDJ5-ZU8N-ES06-2LDB
"SQL Injection from ""Password"" Parameter, ""Username"" Parameter on ""/WebGoat/attack"" page",1Y37-8YJU-MAYN-7PKQ,Injection,SQL Injection,Critical,Reported,6,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/89.html,POST,0,http,1.0,/WebGoat/attack,Screen=1036971378&menu=1200,Username=rexjk825&Password=oppkl563&SUBMIT=thkav037,1Y37-8YJU-MAYN-7PKQ
"Cross-Site Scripting from ""input"" Parameter on ""/WebGoat/attack"" page",ODDJ-B1VC-3W0S-55SE,XSS,Cross-Site Scripting,Medium,Reported,27,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1786050421&menu=1500,input=ticwg920&key=fenll730&SUBMIT=coxyv617,ODDJ-B1VC-3W0S-55SE
"Cross-Site Scripting from ""username"" Parameter on ""/WebGoat/attack"" page",2PY5-ZCZ3-VJ3K-256C,XSS,Cross-Site Scripting,Medium,Reported,8,1643694480000,2022-02-01T05:48:00.000Z,1643694480000,2022-02-01T05:48:00.000Z,PjucgzCOdUSthuSbkBvYkRJil,f06415f5-fe26-4cf6-8d0d-9b73d2792620,,https://cwe.mitre.org/data/definitions/79.html,POST,0,http,1.0,/WebGoat/attack,Screen=1572295549&menu=1100,username=aoqiq245&password=ojifx281&SUBMIT=nnwnl594,2PY5-ZCZ3-VJ3K-256C
