"CVE ID","Component","Version","Attack Vector","CVSS Score","CVSS Version","CWE ID","CWE Name","Impact Score","Number of Known Exploits","Number of Known Attacks","Status","CVE Resolution","What is this vulnerability"
"CVE-2018-20673","binutils","2.31.1","LOCAL","5.50","3.0","CWE-190","Integer Overflow or Wraparound","Low","1","0","TO FIX","NA","The demangle_template function in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31.1, contains an integer overflow vulnerability (for ""Create an array for saving the template argument values"") that can trigger a heap-based buffer overflow, as demonstrated by nm."
"CVE-2018-20712","binutils","2.31.1","NETWORK","6.50","3.0","CWE-125","Out-of-bounds Read","Low","2","0","TO FIX","NA","A heap-based buffer over-read exists in the function d_expression_1 in cp-demangle.c in GNU libiberty, as distributed in GNU Binutils 2.31.1. A crafted input can cause segmentation faults, leading to denial-of-service, as demonstrated by c++filt."
"CVE-2019-1010204","binutils","2.31.1","LOCAL","5.50","3.1","CWE-681","Improper Input Validation","Low","0","0","TO FIX","NA","GNU binutils gold gold v1.11-v1.16 (GNU binutils v2.21-v2.31.1) is affected by: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read. The impact is: Denial of service. The component is: gold/fileread.cc:497, elfcpp/elfcpp_file.h:644. The attack vector is: An ELF file with an invalid e_shoff header field must be opened."
"CVE-2021-20241","imagemagick","6.9.10.23","LOCAL","5.50","3.1","CWE-369","","Low","0","0","TO FIX","NA","A flaw was found in ImageMagick in coders/jp2.c. An attacker who submits a crafted file that is processed by ImageMagick could trigger undefined behavior in the form of math division by zero. The highest threat from this vulnerability is to system availability."
"CVE-2020-35493","binutils","2.31.1","LOCAL","5.50","3.1","CWE-122","","Low","1","0","TO FIX","NA","A flaw exists in binutils in bfd/pef.c. An attacker who is able to submit a crafted PEF file to be parsed by objdump could cause a heap buffer overflow -> out-of-bounds read that could lead to an impact to application availability. This flaw affects binutils versions prior to 2.34."
"CVE-2020-35494","binutils","2.31.1","LOCAL","6.10","3.1","CWE-908","","Low","1","0","TO FIX","NA","There's a flaw in binutils /opcodes/tic4x-dis.c. An attacker who is able to submit a crafted input file to be processed by binutils could cause usage of uninitialized memory. The highest threat is to application availability with a lower threat to data confidentiality. This flaw affects binutils versions prior to 2.34."
"CVE-2020-35495","binutils","2.31.1","LOCAL","5.50","3.1","CWE-476","","Low","1","0","TO FIX","NA","There's a flaw in binutils /bfd/pef.c. An attacker who is able to submit a crafted input file to be processed by the objdump program could cause a null pointer dereference. The greatest threat from this flaw is to application availability. This flaw affects binutils versions prior to 2.34."
"CVE-2020-35496","binutils","2.31.1","LOCAL","5.50","3.1","CWE-476","","Low","1","0","TO FIX","NA","There's a flaw in bfd_pef_scan_start_address() of bfd/pef.c in binutils which could allow an attacker who is able to submit a crafted file to be processed by objdump to cause a NULL pointer dereference. The greatest threat of this flaw is to application availability. This flaw affects binutils versions prior to 2.34."
"CVE-2020-35507","binutils","2.31.1","LOCAL","5.50","3.1","CWE-476","","Low","1","0","TO FIX","NA","There's a flaw in bfd_pef_parse_function_stubs of bfd/pef.c in binutils in versions prior to 2.34 which could allow an attacker who is able to submit a crafted file to be processed by objdump to cause a NULL pointer dereference. The greatest threat of this flaw is to application availability."
"CVE-2021-20197","binutils","2.31.1","LOCAL","6.30","3.1","CWE-59","","Low","0","0","TO FIX","NA","There is an open race window when writing output in the following utilities in GNU binutils version 2.35 and earlier:ar, objcopy, strip, ranlib. When these utilities are run as a privileged user (presumably as part of a script updating binaries across different users), an unprivileged user can trick these utilities into getting ownership of arbitrary files through a symlink."
"CVE-2021-3487","binutils","2.31.1","NETWORK","6.50","3.1","CWE-20","","Low","0","0","TO FIX","NA","There's a flaw in the BFD library of binutils in versions before 2.36. An attacker who supplies a crafted file to an application linked with BFD, and using the DWARF functionality, could cause an impact to system availability by way of excessive memory consumption."
"CVE-2021-45078","binutils","2.31.1","LOCAL","7.80","3.1","CWE-787","","Low","1","0","TO FIX","","stab_xcoff_builtin_type in stabs.c in GNU Binutils through 2.37 allows attackers to cause a denial of service (heap-based buffer overflow) or possibly have unspecified other impact, as demonstrated by an out-of-bounds write. NOTE: this issue exists because of an incorrect fix for CVE-2018-12699."
"CVE-2022-38533","binutils","2.31.1","LOCAL","5.50","3.1","CWE-787","","Low","0","0","TO FIX","NA","In GNU Binutils before 2.40, there is a heap-buffer-overflow in the error function bfd_getl32 when called from the strip_main function in strip-new via a crafted file."
"CVE-2019-6461","cairo","1.16.0","NETWORK","6.50","3.1","CWE-617","Improper Input Validation","Low","0","0","TO FIX","NA","An issue was discovered in cairo 1.16.0. There is an assertion problem in the function _cairo_arc_in_direction in the file cairo-arc.c."
"CVE-2019-6462","cairo","1.16.0","NETWORK","6.50","3.1","CWE-835","Uncontrolled Resource Consumption","Low","0","0","TO FIX","NA","An issue was discovered in cairo 1.16.0. There is an infinite loop in the function _arc_error_normalized in the file cairo-arc.c, related to _arc_max_angle_for_tolerance_normalized."
"CVE-2016-2781","coreutils","8.30","LOCAL","6.50","3.0","CWE-20","Improper Input Validation","Low","0","0","TO FIX","NA","chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal's input buffer."
"CVE-2021-22922","curl","7.64.0","NETWORK","6.50","3.1","CWE-755","Improper Input Validation","Low","0","0","TO FIX","##### Development upgrade

Upgrade curl to 7.78.0

##### Development mitigation

Disable Metalink support by compiling curl with `./configure --without-metalink`","When curl is instructed to download content using the metalink feature, thecontents is verified against a hash provided in the metalink XML file.The metalink XML file points out to the client how to get the same contentfrom a set of different URLs, potentially hosted by different servers and theclient can then download the file from one or several of them. In a serial orparallel manner.If one of the servers hosting the contents has been breached and the contentsof the specific file on that server is replaced with a modified payload, curlshould detect this when the hash of the file mismatches after a completeddownload. It should remove the contents and instead try getting the contentsfrom another URL. This is not done, and instead such a hash mismatch is onlymentioned in text and the potentially malicious content is kept in the file ondisk."
"CVE-2021-22923","curl","7.64.0","NETWORK","5.30","3.1","CWE-522","Insufficiently Protected Credentials","Medium","0","0","TO FIX","##### Development upgrade

Upgrade curl to 7.78.0

##### Development mitigation

Disable Metalink support by compiling curl with `./configure --without-metalink`","When curl is instructed to get content using the metalink feature, and a user name and password are used to download the metalink XML file, those same credentials are then subsequently passed on to each of the servers from which curl will download or try to download the contents from. Often contrary to the user's expectations and intentions and without telling the user it happened."
"CVE-2021-22926","curl","7.64.0","NETWORK","7.50","3.1","CWE-295","Improper Certificate Validation","Medium","0","0","OK","##### Development upgrade

Upgrade curl to 7.78.0

##### Deployment mitigation

Don't run curl in a directory where a malicious certificate file may be planted (ex. a world-writable directory such as `/tmp`)","libcurl-using applications can ask for a specific client certificate to be used in a transfer. This is done with the `CURLOPT_SSLCERT` option (`--cert` with the command line tool).When libcurl is built to use the macOS native TLS library Secure Transport, an application can ask for the client certificate by name or with a file name - using the same option. If the name exists as a file, it will be used instead of by name.If the appliction runs with a current working directory that is writable by other users (like `/tmp`), a malicious user can create a file name with the same name as the app wants to use by name, and thereby trick the application to use the file based cert instead of the one referred to by name making libcurl send the wrong client certificate in the TLS connection handshake."
"CVE-2022-27774","curl","7.64.0","NETWORK","5.70","3.1","CWE-522","","Low","0","0","TO FIX","NA","An insufficiently protected credentials vulnerability exists in curl 4.9 to and include curl 7.82.0 are affected that could allow an attacker to extract credentials when follows HTTP(S) redirects is used with authentication could leak credentials to other services that exist on different protocols or port numbers."
"CVE-2022-35252","curl","7.64.0","NETWORK","3.70","3.1","CWE-noinfo","Not assigned - insufficient information to classify it. For more information see NVD categories.","Low","0","0","TO FIX","","When curl is used to retrieve and parse cookies from a HTTP(S) server, itaccepts cookies using control codes that when later are sent back to a HTTPserver might make the server return 400 responses. Effectively allowing a""sister site"" to deny service to all siblings."
"CVE-2015-0903","editor","1.0.0","NETWORK","7.50","2.0","CWE-119","Improper Restriction of Operations within the Bounds of a Memory Buffer","Medium","0","0","TO FIX","NA","Buffer overflow in Saitoh Kikaku Maruo Editor 8.51 and earlier allows remote attackers to execute arbitrary code via a crafted .hmbook file."
"CVE-2013-0340","expat","2.2.6","NETWORK","6.80","2.0","CWE-611","Permissions, Privileges, and Access Controls","Low","0","0","TO FIX","NA","expat 2.1.0 and earlier does not properly handle entities expansion unless an application developer uses the XML_SetEntityDeclHandler function, which allows remote attackers to cause a denial of service (resource consumption), send HTTP requests to intranet servers, or read arbitrary files via a crafted XML document, aka an XML External Entity (XXE) issue.  NOTE: it could be argued that because expat already provides the ability to disable external entity expansion, the responsibility for resolving this issue lies with application developers; according to this argument, this entry should be REJECTed, and each affected application would need its own CVE."
"CVE-2022-43680","expat","2.2.6","NETWORK","7.50","3.1","CWE-416","","Medium","3","0","TO FIX","NA","In libexpat through 2.4.9, there is a use-after free caused by overeager destruction of a shared DTD in XML_ExternalEntityParserCreate in out-of-memory situations."
"CVE-2022-39288","fastify","3.14.0","NETWORK","7.50","3.1","CWE-754","","Medium","0","0","TO FIX","NA","fastify is a fast and low overhead web framework, for Node.js. Affected versions of fastify are subject to a denial of service via malicious use of the Content-Type header. An attacker can send an invalid Content-Type header that can cause the application to crash. This issue has been addressed in commit `fbb07e8d` and will be included in release version 4.8.1. Users are advised to upgrade. Users unable to upgrade may manually filter out http content with malicious Content-Type headers."
"CVE-2019-15847","gcc","8.3.0","NETWORK","7.50","3.1","CWE-331","Insufficient Entropy","Medium","0","0","TO FIX","","The POWER9 backend in GNU Compiler Collection (GCC) before version 10 could optimize multiple calls of the __builtin_darn intrinsic into a single call, thus reducing the entropy of the random number generator. This occurred because a volatile operation was not specified. For example, within a single execution of a program, the output of every __builtin_darn() call may be the same."
"CVE-2021-37322","gcc","8.3.0","LOCAL","7.80","3.1","CWE-416","","Low","1","0","TO FIX","NA","GCC c++filt v2.26 was discovered to contain a use-after-free vulnerability via the component cplus-dem.c."
"CVE-2021-29468","git","2.20.1","NETWORK","8.80","3.1","CWE-20","","Medium","0","0","TO FIX","NA","Cygwin Git is a patch set for the git command line tool for the cygwin environment. A specially crafted repository that contains symbolic links as well as files with backslash characters in the file name may cause just-checked out code to be executed while checking out a repository using Git on Cygwin. The problem will be patched in the Cygwin Git v2.31.1-2 release. At time of writing, the vulnerability is present in the upstream Git source code; any Cygwin user who compiles Git for themselves from upstream sources should manually apply a patch to mitigate the vulnerability. As mitigation users should not clone or pull from repositories from untrusted sources. CVE-2019-1354 was an equivalent vulnerability in Git for Visual Studio."
"CVE-2022-24975","git","2.20.1","NETWORK","7.50","3.1","CWE-668","","Medium","0","0","TO FIX","NA","The --mirror documentation for Git through 2.35.1 does not mention the availability of deleted content, aka the ""GitBleed"" issue. This could present a security risk if information-disclosure auditing processes rely on a clone operation without the --mirror option."
"CVE-2020-25664","imagemagick","6.9.10.23","LOCAL","6.10","3.1","CWE-122","","Low","1","0","TO FIX","NA","In WriteOnePNGImage() of the PNG coder at coders/png.c, an improper call to AcquireVirtualMemory() and memset() allows for an out-of-bounds write later when PopShortPixel() from MagickCore/quantum-private.h is called. The patch fixes the calls by adding 256 to rowbytes. An attacker who is able to supply a specially crafted image could affect availability with a low impact to data integrity. This flaw affects ImageMagick versions prior to 6.9.10-68 and 7.0.8-68."
"CVE-2022-39253","git","2.20.1","LOCAL","5.50","3.1","CWE-59","","Low","0","0","TO FIX","NA","Git is an open source, scalable, distributed revision control system. Versions prior to 2.30.6, 2.31.5, 2.32.4, 2.33.5, 2.34.5, 2.35.5, 2.36.3, and 2.37.4 are subject to exposure of sensitive information to a malicious actor. When performing a local clone (where the source and target of the clone are on the same volume), Git copies the contents of the source's `$GIT_DIR/objects` directory into the destination by either creating hardlinks to the source contents, or copying them (if hardlinks are disabled via `--no-hardlinks`). A malicious actor could convince a victim to clone a repository with a symbolic link pointing at sensitive information on the victim's machine. This can be done either by having the victim clone a malicious repository on the same machine, or having them clone a malicious repository embedded as a bare repository via a submodule from any source, provided they clone with the `--recurse-submodules` option. Git does not create symbolic links in the `$GIT_DIR/objects` directory. The problem has been patched in the versions published on 2022-10-18, and backported to v2.30.x. Potential workarounds: Avoid cloning untrusted repositories using the `--local` optimization when on a shared machine, either by passing the `--no-local` option to `git clone` or cloning from a URL that uses the `file://` scheme. Alternatively, avoid cloning repositories from untrusted sources with `--recurse-submodules` or run `git config --global protocol.file.allow user`."
"CVE-2022-39260","git","2.20.1","NETWORK","8.80","3.1","CWE-787","","Medium","0","0","TO FIX","NA","Git is an open source, scalable, distributed revision control system. `git shell` is a restricted login shell that can be used to implement Git's push/pull functionality via SSH. In versions prior to 2.30.6, 2.31.5, 2.32.4, 2.33.5, 2.34.5, 2.35.5, 2.36.3, and 2.37.4, the function that splits the command arguments into an array improperly uses an `int` to represent the number of entries in the array, allowing a malicious actor to intentionally overflow the return value, leading to arbitrary heap writes. Because the resulting array is then passed to `execv()`, it is possible to leverage this attack to gain remote code execution on a victim machine. Note that a victim must first allow access to `git shell` as a login shell in order to be vulnerable to this attack. This problem is patched in versions 2.30.6, 2.31.5, 2.32.4, 2.33.5, 2.34.5, 2.35.5, 2.36.3, and 2.37.4 and users are advised to upgrade to the latest version. Disabling `git shell` access via remote logins is a viable short-term workaround."
"CVE-2020-35457","glib","2.58.3","LOCAL","7.80","3.1","CWE-190","","Low","1","0","TO FIX","NA","** DISPUTED ** GNOME GLib before 2.65.3 has an integer overflow, that might lead to an out-of-bounds write, in g_option_group_add_entries. NOTE: the vendor's position is ""Realistically this is not a security issue. The standard pattern is for callers to provide a static list of option entries in a fixed number of calls to g_option_group_add_entries()."" The researcher states that this pattern is undocumented."
"CVE-2010-4756","glibc","2.28","NETWORK","4.00","2.0","CWE-399","Resource Management Errors","Medium","3","0","TO FIX","","The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in STAT commands to an FTP daemon, a different vulnerability than CVE-2010-2632."
"CVE-2013-4412","glibc","2.28","NETWORK","7.50","3.1","CWE-476","NULL Pointer Dereference","Low","0","0","TO FIX","","slim has NULL pointer dereference when using crypt() method from glibc 2.17"
"CVE-2018-20796","glibc","2.28","NETWORK","7.50","3.0","CWE-674","Uncontrolled Recursion","Medium","2","0","TO FIX","","In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep."
"CVE-2019-9192","glibc","2.28","NETWORK","7.50","3.0","CWE-674","Resource Management Errors","Medium","1","0","TO FIX","","** DISPUTED ** In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern."
"CVE-2020-1751","glibc","2.28","LOCAL","7.00","3.1","CWE-787","Out-of-bounds Write","Medium","0","0","TO FIX","","An out-of-bounds write vulnerability was found in glibc before 2.31 when handling signal trampolines on PowerPC. Specifically, the backtrace function did not properly check the array bounds when storing the frame address, resulting in a denial of service or potential code execution. The highest threat from this vulnerability is to system availability."
"CVE-2019-13050","gnupg","2.2.12","NETWORK","7.50","3.1","CWE-295","Improper Validation of Certificate with Host Mismatch","Medium","1","0","TO FIX","NA","Interaction between the sks-keyserver code through 1.2.0 of the SKS keyserver network, and GnuPG through 2.2.16, makes it risky to have a GnuPG keyserver configuration line referring to a host on the SKS keyserver network. Retrieving data from this network may cause a persistent denial of service, because of a Certificate Spamming Attack."
"CVE-2019-14855","gnupg","2.2.12","NETWORK","7.50","3.1","CWE-326","Use of a Broken or Risky Cryptographic Algorithm","Medium","1","0","TO FIX","NA","A flaw was found in the way certificate signatures could be forged using collisions found in the SHA-1 algorithm. An attacker could use this weakness to create forged certificate signatures. This issue affects GnuPG versions before 2.2.18."
"CVE-2022-33987","got","6.7.1","NETWORK","5.30","3.1","CWE-noinfo","Not assigned - insufficient information to classify it. For more information see NVD categories.","Low","0","0","TO FIX","NA","The got package before 12.1.0 (also fixed in 11.8.5) for Node.js allows a redirect to a UNIX socket."
"CVE-2020-25665","imagemagick","6.9.10.23","LOCAL","5.50","3.1","CWE-122","","Low","1","0","TO FIX","NA","The PALM image coder at coders/palm.c makes an improper call to AcquireQuantumMemory() in routine WritePALMImage() because it needs to be offset by 256. This can cause a out-of-bounds read later on in the routine. The patch adds 256 to bytes_per_row in the call to AcquireQuantumMemory(). This could cause impact to reliability. This flaw affects ImageMagick versions prior to 7.0.8-68."
"CVE-2020-25666","imagemagick","6.9.10.23","LOCAL","3.30","3.1","CWE-190","","Low","1","0","TO FIX","NA","There are 4 places in HistogramCompare() in MagickCore/histogram.c where an integer overflow is possible during simple math calculations. This occurs in the rgb values and `count` value for a color. The patch uses casts to `ssize_t` type for these calculations, instead of `int`. This flaw could impact application reliability in the event that ImageMagick processes a crafted input file. This flaw affects ImageMagick versions prior to 7.0.9-0."
"CVE-2020-25674","imagemagick","6.9.10.23","LOCAL","5.50","3.1","CWE-122","","Low","1","0","TO FIX","NA","WriteOnePNGImage() from coders/png.c (the PNG coder) has a for loop with an improper exit condition that can allow an out-of-bounds READ via heap-buffer-overflow. This occurs because it is possible for the colormap to have less than 256 valid values but the loop condition will loop 256 times, attempting to pass invalid colormap data to the event logger. The patch replaces the hardcoded 256 value with a call to MagickMin() to ensure the proper value is used. This could impact application availability when a specially crafted input file is processed by ImageMagick. This flaw affects ImageMagick versions prior to 7.0.8-68."
