Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Vulnerability Tags,Description,Cause,Published,Services,Cluster,Vulnerability Link,Agentless
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6521,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.1) Ensure permissions on /etc/ssh/sshd_config are configured,"File permissions not configured properly, expected: 600, actual: 644. Full path: /etc/ssh/sshd_config",,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6141,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions not configured properly, expected: 600, actual: 444. Full path: /boot/grub/grub.cfg",,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,66210,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 6.2.10) Ensure users' dot files are not group or world writable,Home directory /home/ubuntu of user ubuntu contains 6 group/world writable files,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6628,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 6.2.8) Ensure users' home directories permissions are 750 or more restrictive,"Home directory permissions of 3 users are more permissive than 750, e.g /var/lib/jenkins:755",,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6518,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.1.8) Ensure at/cron is restricted to authorized users,Forbidden cron file exists. File /etc/at.deny,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,,6412,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 4.1.3) Ensure auditd service is enabled,The service auditd.service should be enabled,,,,,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-21233,46,image,medium,intel-microcode,,3.20220510.0ubuntu0.20.04.1,GPL-2,5.50,fixed in 3.20220809.0ubuntu0.20.04.1,,Improper isolation of shared resources in some Intel(R) Processors may allow a privileged user to potentially enable information disclosure via local access.,,2022-08-18 20:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-21233,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-2806,46,image,medium,sosreport,,4.3-1ubuntu0.20.04.1,GPL-2+,5.50,fixed in 4.3-1ubuntu0.20.04.2,,"It was found that the ovirt-log-collector/sosreport collects the RHV admin password unfiltered. Fixed in: sos-4.2-20.el8_6, ovirt-log-collector-4.4.7-2.el8ev",,2022-09-01 21:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-2806,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2016-2781,46,image,low,coreutils,,8.30-3ubuntu2,GPL-3,6.50,deferred,,"chroot in GNU coreutils, when used with --userspec, allows local users to escape to the parent session via a crafted TIOCSTI ioctl call, which pushes characters to the terminal\'s input buffer.",,2017-02-07 15:59:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2016/CVE-2016-2781,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2021-27290,46,image,medium,node-ssri,,7.1.0-2,,7.50,needed,,"ssri 5.2.2-8.0.0, fixed in 8.0.1, processes SRIs using a regular expression which is vulnerable to a denial of service. Malicious SRIs could take an extremely long time to process, leading to denial of service. This issue only affects consumers using the strict option.",,2021-03-12 22:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2021/CVE-2021-27290,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-0529,46,image,medium,unzip,,6.0-25ubuntu1,,5.50,fixed in 6.0-25ubuntu1.1,,"A flaw was found in Unzip. The vulnerability occurs during the conversion of a wide string to a local string that leads to a heap of out-of-bound write. This flaw allows an attacker to input a specially crafted zip file, leading to a crash or code execution.",,2022-02-09 23:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-0529,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-0530,46,image,low,unzip,,6.0-25ubuntu1,,5.50,fixed in 6.0-25ubuntu1.1,,"A flaw was found in Unzip. The vulnerability occurs during the conversion of a wide string to a local string that leads to a heap of out-of-bound write. This flaw allows an attacker to input a specially crafted zip file, leading to a crash or code execution.",,2022-02-09 23:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-0530,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2021-4217,46,image,low,unzip,,6.0-25ubuntu1,,3.30,fixed in 6.0-25ubuntu1.1,,"A flaw was found in unzip. The vulnerability occurs due to improper handling of Unicode strings, which can lead to a null pointer dereference. This flaw allows an attacker to input a specially crafted zip file, leading to a crash or code execution.",,2022-08-24 16:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2021/CVE-2021-4217,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-4055,46,image,medium,xdg-utils,,1.1.3-2ubuntu1.20.04.2,,7.40,deferred,,"When xdg-mail is configured to use thunderbird for mailto URLs, improper parsing of the URL can lead to additional headers being passed to thunderbird that should not be included per RFC 2368. An attacker can use this method to create a mailto URL that looks safe to users, but will actually attach files when clicked.",,2022-11-19 00:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-4055,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-32212,46,image,medium,nodejs,,16.17.0-deb-1nodesource1,,8.10,needed,,"A OS Command Injection vulnerability exists in Node.js versions <14.20.0, <16.16.0, <18.5.0 due to an insufficient IsAllowedHost check that can easily be bypassed because IsIPAddress does not properly check if an IP address is invalid before making DBS requests allowing rebinding attacks.",,2022-07-14 15:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-32212,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-3328,46,image,high,snapd,,2.55.5+20.04,GPL-3,7.80,fixed in 2.57.5+20.04ubuntu0.1,,Race condition in snap-confine\'s must_mkdir_and_open_with_perms(),,,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-3328,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2021-26318,46,image,medium,amd64-microcode,,3.20191218.1ubuntu1,,4.70,deferred,,A timing and power-based side channel attack leveraging the x86 PREFETCH instructions on some AMD CPUs could potentially result in leaked kernel address space information.,,2021-10-13 19:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2021/CVE-2021-26318,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2020-7788,46,image,medium,node-ini,,1.3.5-1,,9.80,needed,,"This affects the package ini before 1.3.6. If an attacker submits a malicious INI file to an application that parses it with ini.parse, they will pollute the prototype on the application. This can be exploited further depending on the context.",,2020-12-11 11:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2020/CVE-2020-7788,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2021-31879,46,image,medium,wget,,1.20.3-1ubuntu2,GPL-3,6.10,deferred,,"GNU Wget through 1.21.1 does not omit the Authorization header upon a redirect to a different origin, a related issue to CVE-2018-1000007.",,2021-04-29 05:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2021/CVE-2021-31879,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2016-9180,46,image,low,libxml-twig-perl,,1:3.50-2,Artistic or GPL-1+,9.10,deferred,,"perl-XML-Twig: The option to `expand_external_ents`, documented as controlling external entity expansion in XML::Twig does not work. External entities are always expanded, regardless of the option\'s setting.",,2016-12-22 21:59:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2016/CVE-2016-9180,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-23491,46,image,medium,ca-certificates,,20211016~20.04.1,GPL-2+,7.50,fixed in 20211016ubuntu0.20.04.1,,"Certifi is a curated collection of Root Certificates for validating the trustworthiness of SSL certificates while verifying the identity of TLS hosts. Certifi 2022.12.07 removes root certificates from \""TrustCor\"" from the root store. These are in the process of being removed from Mozilla\'s trust store. TrustCor\'s root certificates are being removed pursuant to an investigation prompted by media reporting that TrustCor\'s ownership also operated a business that produced spyware. Conclusions of Mozilla\'s investigation can be found in the linked google group discussion.",,2022-12-07 23:05:18.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-23491,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-1196,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,needed,,security update,,,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-1196,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-24791,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,needed,,"Wasmtime is a standalone JIT-style runtime for WebAssembly, using Cranelift. There is a use after free vulnerability in Wasmtime when both running Wasm that uses externrefs and enabling epoch interruption in Wasmtime. If you are not explicitly enabling epoch interruption (it is disabled by default) then you are not affected. If you are explicitly disabling the Wasm reference types proposal (it is enabled by default) then you are also not affected. The use after free is caused by Cranelift failing to emit stack maps when there are safepoints inside cold blocks. Cold blocks occur when epoch interruption is enabled. Cold blocks are emitted at the end of compiled functions, and change the order blocks are emitted versus defined. This reordering accidentally caused Cranelift to skip emitting some stack maps because it expected to emit the stack maps in block definition order, rather than block emission order. When Wasmtime would eventually collect garbage, it would fail to find live references on the stack because of the missing stack maps, think that they were unreferenced garbage, and therefore reclaim them. Then after the collection ended, the Wasm code could use the reclaimed-too-early references, which is a use after free. Patches have been released in versions 0.34.2 and 0.35.2, which fix the vulnerability. All Wasmtime users are recommended to upgrade to these patched version",,2022-03-31 23:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-24791,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-25235,46,image,high,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,needed,,"xmltok_impl.c in Expat (aka libexpat) before 2.4.5 lacks certain validation of encoding, such as checks for whether a UTF-8 character is valid in a certain context.",,2022-02-16 01:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-25235,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-25313,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,6.50,needed,,"In Expat (aka libexpat) before 2.4.5, an attacker can trigger stack exhaustion in build_model via a large nesting depth in the DTD element.",,2022-02-18 05:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-25313,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-25314,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,7.50,needed,,"In Expat (aka libexpat) before 2.4.5, there is an integer overflow in copyString.",,2022-02-18 05:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-25314,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-25315,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,needed,,"In Expat (aka libexpat) before 2.4.5, there is an integer overflow in storeRawNames.",,2022-02-18 05:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-25315,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-23852,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,needed,,"Expat (aka libexpat) before 2.4.4 has a signed integer overflow in XML_GetBuffer, for configurations with a nonzero XML_CONTEXT_BYTES.",,2022-01-24 02:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-23852,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-25236,46,image,high,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,needed,,xmlparse.c in Expat (aka libexpat) before 2.4.5 allows attackers to insert namespace-separator characters into namespace URIs.,,2022-02-16 01:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-25236,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-2205,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,needed,,[Unknown description],,,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-2205,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-31146,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,8.80,needed,,"Wasmtime is a standalone runtime for WebAssembly. There is a bug in the Wasmtime\'s code generator, Cranelift, where functions using reference types may be incorrectly missing metadata required for runtime garbage collection. This means that if a GC happens at runtime then the GC pass will mistakenly think these functions do not have live references to GC\'d values, reclaiming them and deallocating them. The function will then subsequently continue to use the values assuming they had not been GC\'d, leading later to a use-after-free. This bug was introduced in the migration to the `regalloc2` register allocator that occurred in the Wasmtime 0.37.0 release on 2022-05-20. This bug has been patched and users should upgrade to Wasmtime version 0.38.2. Mitigations for this issue can be achieved by disabling the reference types proposal by passing `false` to `wasmtime::Config::wasm_reference_types` or downgrading to Wasmtime 0.36.0 or prior.",,2022-07-21 04:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-31146,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-31169,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,7.50,needed,,"Wasmtime is a standalone runtime for WebAssembly. There is a bug in Wasmtime\'s code generator, Cranelift, for AArch64 targets where constant divisors can result in incorrect division results at runtime. This affects Wasmtime prior to version 0.38.2 and Cranelift prior to 0.85.2. This issue only affects the AArch64 platform. Other platforms are not affected. The translation rules for constants did not take into account whether sign or zero-extension should happen which resulted in an incorrect value being placed into a register when a division was encountered. The impact of this bug is that programs executing within the WebAssembly sandbox would not behave according to the WebAssembly specification. This means that it is hypothetically possible for execution within the sandbox to go awry and WebAssembly programs could produce unexpected results. This should not impact hosts executing WebAssembly but does affect the correctness of guest programs. This bug has been patched in Wasmtime version 0.38.2 and cranelift-codegen 0.85.2. There are no known workarounds.",,2022-07-22 04:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-31169,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40962,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40962,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40960,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40960,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40959,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40959,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40958,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40958,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40957,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40957,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-3266,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,"An out-of-bounds read can occur when decoding H264 video. This results in a potentially exploitable crash. This vulnerability affects Firefox ESR < 102.3, Thunderbird < 102.3, and Firefox < 105.",,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-3266,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40956,46,image,low,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 105.0+build2-0ubuntu0.20.04.1,,security update,,2022-09-28 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40956,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42927,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,security update,,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42927,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42928,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,security update,,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42928,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42929,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,security update,,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42929,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42930,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,[Unknown description],,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42930,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42931,46,image,low,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,[Unknown description],,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42931,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-42932,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 106.0.2+build1-0ubuntu0.20.04.1,,security update,,2022-10-27 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-42932,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-23990,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,7.50,needed,,Expat (aka libexpat) before 2.4.4 has an integer overflow in the doProlog function.,,2022-01-26 19:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-23990,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40674,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,9.80,fixed in 107.0+build2-0ubuntu0.20.04.1,,libexpat before 2.4.9 has a use-after-free in the doContent function in xmlparse.c.,,2022-09-14 11:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40674,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-45403,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 107.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-11-15 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-45403,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-3857,46,image,low,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,deferred,,DOCUMENTATION: No description is available for this CVE.,,2022-11-04 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-3857,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-45413,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 107.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-11-16 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-45413,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46879,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46879,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46878,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46878,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46877,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46877,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46874,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46874,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46873,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46873,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46872,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46872,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-46871,46,image,medium,firefox,,104.0+build3-0ubuntu0.20.04.1,GPL-2,0.00,fixed in 108.0+build2-0ubuntu0.20.04.1,,[Unknown description],,2022-12-14 00:00:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-46871,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-40303,46,image,medium,libxml2,,2.9.10+dfsg-5ubuntu0.20.04.4,MIT-1,7.50,fixed in 2.9.10+dfsg-5ubuntu0.20.04.5,,"An issue was discovered in libxml2 before 2.10.3. When parsing a multi-gigabyte XML document with the XML_PARSE_HUGE parser option enabled, several integer counters can overflow. This results in an attempt to access an array at a negative 2GB offset, typically leading to a segmentation fault.",,2022-11-23 00:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-40303,false
ip-172-31-24-116.us-east-2.compute.internal,ubuntu-focal,CVE-2022-2309,46,image,low,libxml2,,2.9.10+dfsg-5ubuntu0.20.04.4,MIT-1,7.50,fixed in 2.9.10+dfsg-5ubuntu0.20.04.5,,"NULL Pointer Dereference allows attackers to cause a denial of service (or application crash). This only applies when lxml is used together with libxml2 2.9.10 through 2.9.14. libxml2 2.9.9 and earlier are not affected. It allows triggering crashes through forged input data, given a vulnerable code sequence in the application. The vulnerability is caused by the iterwalk function (also used by the canonicalize function). Such code shouldn\'t be in wide-spread use, given that parsing + iterwalk would usually be replaced with the more efficient iterparse function. However, an XML converter that serialises to C14N would also be vulnerable, for example, and there are legitimate use cases for this code sequence. If untrusted input is received (also remotely) and processed via iterwalk function, a crash can be triggered.",,2022-07-05 10:15:00.000,,,https://people.canonical.com/~ubuntu-security/cve/2022/CVE-2022-2309,false
