Scan Source,IP,DNS,NetBIOS,OS Group,OS Group Details,OS,QID,Title,Priority,Severity,Port,Protocol,First Detected,Last Detected,CVE ID,Threat,Impact,Solution,Results,Age,Age Bucket,SLA Status,Public Exploit Available,OS/Non-OS,Patch/Config,New?,Tags
Laptops - External,192.168.0.52,uk-bk-480254,UK-BK-480254,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise 64 bit Edition Version 1909,110338,Microsoft Office and Microsoft Office Services and Web Apps Security Update September 2019,Urgent,4,,,44023,44689,"CVE-2019-1246, CVE-2019-1257, CVE-2019-1259, CVE-2019-1260, CVE-2019-1261, CVE-2019-1262, CVE-2019-1263, CVE-2019-1264, CVE-2019-1295, CVE-2019-1296, CVE-2019-1297","Microsoft has released September 2019 security updates to fix multiple security vulnerabilities. 
This security update contains the following KBs: 

KB4475611 
KB4475591 
KB4475599 
KB4484098 
KB4475590 
KB4475605 
KB4475596 
KB4484099 
KB4475594 
KB4464557 
KB4475574 
KB4475579 
KB4475566 
KB4475607 
KB4475583 
KB4464566 
KB4461631 
KB4475589 
KB4464548 
 

QID Detection Logic: 
This authenticated QID checks the file versions from above Microsoft KB article with the versions on affected office system.",Successful exploitation allows an attacker to execute code remotely.,"Refer to Microsoft Security Guidance (https://portal.msrc.microsoft.com/en-us/security-guidance) for more details pertaining to this vulnerability. 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Microsoft Office and Microsoft Office Services and Web Apps Security Update September 2019 (https://portal.msrc.microsoft.com/en-us/security-guidance)","Office ClicktoRun or Office 365 SEPTEMBER 2019 Update is not installed  
C:\Program Files\Microsoft Office\root\Office16\GRAPH.EXE  Version is  16.0.8326.2059#",667,6. 1-2 Years,Outside SLA,Yes,Non-OS,Patch,No,W
On Prem - Internal,10.155.189.25,vme331pw-4a80b7.pimco.imswest.sscims.com,VME331PW-4A80B7,Windows Server,Windows_Server_2016,Windows Server 2016 Standard 64 bit Edition Version 1607,38170,SSL Certificate - Subject Common Name Does Not Match Server FQDN,Medium,2,1993,tcp,44352,44688,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection.
 
A certificate whose Subject commonName or subjectAltName does not match the server FQDN offers only encryption without authentication.
 
Please note that a false positive reporting of this vulnerability is possible in the following case:
 If the common name of the certificate uses a wildcard such as *.somedomainname.com and the reverse DNS resolution of the target IP is not configured. In this case there is no way for Qualys to associate the wildcard common name to the IP. Adding a reverse DNS lookup entry to the target IP will solve this problem.","A man-in-the-middle attacker can exploit this vulnerability in tandem with a DNS cache poisoning attack to lure the client to another server, and then steal all the encryption communication.",Please install a server certificate whose Subject commonName or subjectAltName matches the server FQDN.,"Certificate #0 CN=owa.pimco.com,O=state_street_investment_manager_solutions\,_LLC,L=BOSTON,ST=Massachusetts,C=US (owa.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.de.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.jp.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.au.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.uk.pimco.com) and IP (10.155.189.25) don't match
(autodiscover.sg.pimco.com) and IP (10.155.189.25) don't match
(owa-ny-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-jp-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-lb-mun.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-uk-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-au-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa-sg-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(cas-cisco-lb.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(email.pimco.com) and IP (10.155.189.25) don't match
(email2.pimco.com) and IP (10.155.189.25) don't match
(webmail.pimco.com) doesn't resolve
(mi-na-async-prod.pimco.imswest.sscims.com) and IP (10.155.189.25) don't match
(owa.pimco.com) and IP (10.155.189.25) don't match#",338,5. 180-365 Days,Outside SLA,No,Non-OS,Config,No,X
Laptops - External,192.168.0.43,l-w029415703354,L-W029415703354,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise 64 bit Edition Version 21H2,105171,Windows Explorer Autoplay Not Disabled for Default User,Serious,2,,,44656,44690,,The setting that prevents applications from any drive to be automatically executed when no user is logged in is not enabled on the host.,An attacker may be able to run an unauthorized application.,"Make sure that the value NoDriveTypeAutoRun is defined under this registry key:
 
HKU\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","%windir%\explorer.exe   found 
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoAutorun is missing. 
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing. 
HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.#",34,2. 31-45 Days,Inside SLA,No,Non-OS,Config,No,Y
On Prem - Internal,10.155.63.52,clv035pw-1654a3.core.pimcocloud.net,CLV035PW-1654A3,Windows Workstation,Windows_Workstation_7,Windows 7 Enterprise 64 bit Edition Service Pack 1,370495,IBM MQ Java Runtime Vulnerability (swg22001630),Medium,2,,,43786,44688,CVE-2016-3485,"IBM MQ is a message oriented middleware that allows independent and non-concurrent applications on a distributed system to communicate with each other.  
IBM MQ is vulnerable to a unspecified Java Runtime which can allow local users to compromise the integrity of the system. 

Affected Version: 
IBM MQ 9.0.x 
WebSphere MQ 8.0.x 
WebSphere MQ 7.5.x 
WebSphere MQ 7.1.x 

QID Detection Logic (authenticated): 
The QID checks for the Registry Key ""HKLM\SOFTWARE\IBM\MQSeries\CurrentVersion"" value ""VRMF"" to see if the system is running a vulnerable version of IBM MQ or not.",Successful exploitation of the vulnerabilities may allow local users to compromise the integrity of the system.,"Please refer to IBM advisory swg22001630 (https://www-01.ibm.com/support/docview.wss?uid=swg22001630) for further information. 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  swg22001630 (http://www-01.ibm.com/support/docview.wss?uid=swg22001630)",HKLM\SOFTWARE\Wow6432Node\IBM\MQSeries\CurrentVersion VRMF = 7.5.0.0#,904,7. 2+ Years,Outside SLA,No,Non-OS,Patch,No,Z
AWS - External,10.238.104.196,riskcalc-prod-monitoring-1,,Unix/Linux,Linux_Ubuntu,Ubuntu Linux 20.04.3,198748,Ubuntu Security Notification for Bash Vulnerability (USN-5380-1),Urgent,4,,,44672,44690,CVE-2019-18276,Bash did not properly drop privilegeswhen the binary had the setuid bit enabled.,An attacker couldpossibly use this issue to escalate privileges.,"Refer to Ubuntu security advisory USN-5380-1 (https://ubuntu.com/security/notices/USN-5380-1) for updates and patch information.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  USN-5380-1: Ubuntu Linux (https://ubuntu.com/security/notices/USN-5380-1)","Package	Installed Version	Required Version
bash	5.0-6ubuntu1.1	5.0-6ubuntu1.2#",18,1. 0-30 Days,Inside SLA,No,OS,Patch,Yes,A
On Prem - Internal,10.155.42.60,clv235dw-0e6217.core.pimcocloud.net,CLV235DW-0E6217,Windows Server,Windows_Server_2016,Windows Server 2016 Standard 64 bit Edition Version 1607,91846,Microsoft Windows Security Update for December 2021,Critical,4,,,44569,44688,"CVE-2021-43893, CVE-2021-43880, CVE-2021-43248, CVE-2021-43247, CVE-2021-43246, CVE-2021-43245, CVE-2021-43244, CVE-2021-43243, CVE-2021-43240, CVE-2021-43239, CVE-2021-43238, CVE-2021-43237, CVE-2021-43236, CVE-2021-43235, CVE-2021-43234, CVE-2021-43233, CVE-2021-43232, CVE-2021-43231, CVE-2021-43230, CVE-2021-43229, CVE-2021-43228, CVE-2021-43227, CVE-2021-43226, CVE-2021-43224, CVE-2021-43223, CVE-2021-43222, CVE-2021-43217, CVE-2021-43216, CVE-2021-43215, CVE-2021-43214, CVE-2021-41360, CVE-2021-41333, CVE-2021-40453, CVE-2021-40452, CVE-2021-40441, CVE-2021-43219, CVE-2021-43207","Microsoft Windows Security Update - December 2021

The KB Articles associated with the update: 
KB5008263 (https://support.microsoft.com/en-in/help/5008263) 
KB5008285 (https://support.microsoft.com/en-in/help/5008285) 
KB5008277 (https://support.microsoft.com/en-in/help/5008277) 
KB5008255 (https://support.microsoft.com/en-in/help/5008255) 
KB5008244 (https://support.microsoft.com/en-in/help/5008244) 
KB5008282 (https://support.microsoft.com/en-in/help/5008282) 
KB5008274 (https://support.microsoft.com/en-in/help/5008274) 
KB5008271 (https://support.microsoft.com/en-in/help/5008271) 
KB5008207 (https://support.microsoft.com/en-in/help/5008207) 
KB5008230 (https://support.microsoft.com/en-in/help/5008230) 
KB5008212 (https://support.microsoft.com/en-in/help/5008212) 
KB5008215 (https://support.microsoft.com/en-in/help/5008215) 
KB5008223 (https://support.microsoft.com/en-in/help/5008223) 
KB5008206 (https://support.microsoft.com/en-in/help/5008206) 
KB5008210 (https://support.microsoft.com/en-in/help/5008210) 
KB5008218 (https://support.microsoft.com/en-in/help/5008218) 

 This QID checks for the file version of ntoskrnl.exe
 The following versions of ntoskrnl.exe with their corresponding KBs are verified:","Successful exploit could compromise Confidentiality, Integrity and Availability","Please refer to the KB5008263 (https://support.microsoft.com/en-in/help/5008263) 
KB5008285 (https://support.microsoft.com/en-in/help/5008285) 
KB5008277 (https://support.microsoft.com/en-in/help/5008277) 
KB5008255 (https://support.microsoft.com/en-in/help/5008255) 
KB5008244 (https://support.microsoft.com/en-in/help/5008244) 
KB5008282 (https://support.microsoft.com/en-in/help/5008282) 
KB5008274 (https://support.microsoft.com/en-in/help/5008274) 
KB5008271 (https://support.microsoft.com/en-in/help/5008271) 
KB5008207 (https://support.microsoft.com/en-in/help/5008207) 
KB5008230 (https://support.microsoft.com/en-in/help/5008230) 
KB5008212 (https://support.microsoft.com/en-in/help/5008212) 
KB5008215 (https://support.microsoft.com/en-in/help/5008215) 
KB5008223 (https://support.microsoft.com/en-in/help/5008223) 
KB5008206 (https://support.microsoft.com/en-in/help/5008206) 
KB5008210 (https://support.microsoft.com/en-in/help/5008210) 
KB5008218 (https://support.microsoft.com/en-in/help/5008218) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  KB5008263 (https://support.microsoft.com/en-in/help/5008263)  KB5008285 (https://support.microsoft.com/en-in/help/5008285)  KB5008277 (https://support.microsoft.com/en-in/help/5008277)  KB5008255 (https://support.microsoft.com/en-in/help/5008255)  KB5008244 (https://support.microsoft.com/en-in/help/5008244)  KB5008282 (https://support.microsoft.com/en-in/help/5008282)  KB5008274 (https://support.microsoft.com/en-in/help/5008274)  KB5008271 (https://support.microsoft.com/en-in/help/5008271)  KB5008207 (https://support.microsoft.com/en-in/help/5008207)  KB5008230 (https://support.microsoft.com/en-in/help/5008230)  KB5008212 (https://support.microsoft.com/en-in/help/5008212)  KB5008215 (https://support.microsoft.com/en-in/help/5008215)  KB5008223 (https://support.microsoft.com/en-in/help/5008223)  KB5008206 (https://support.microsoft.com/en-in/help/5008206)  KB5008210 (https://support.microsoft.com/en-in/help/5008210)  KB5008218 (https://support.microsoft.com/en-in/help/5008218)","KB5008207 is not installed 
%windir%\system32\ntoskrnl.exe  Version is  10.0.14393.4770#",121,4. 91-180 Days,Outside SLA,No,OS,Patch,No,B
On Prem - Internal,144.77.29.81,prodpmattr3.pimco.imswest.sscims.com,,Unix/Linux,CatchAll,Red Hat Enterprise Linux Server 6.10,374873,Oracle Java SE Critical Patch Update - January 2021 (CPUJAN2021),Serious,3,,,44688,44688,CVE-2020-14803,"Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 

Affected Versions: 
Oracle Java JDK and JRE, versions 7u281, 8u271, 11.0.9, 15.0.1 and prior 

QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.",Exploitation could allow an attacker to impact the confidentiality of an affected system.,"The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2021 (https://www.oracle.com/security-alerts/cpujan2021.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - January 2021: Java (https://www.oracle.com/security-alerts/cpujan2021.html#AppendixJAVA)","Install Location	Version	Detection Type
/opt/CA/WorkloadAutomationAE/SystemAgent/WA_AGENT_PATTR3/jre/bin/java	1.7.0_51-b13	Enhanced
/usr/openv/java/jre/bin/java	1.8.0_131-b11	Enhanced#",2,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,No,C
On Prem - Internal,144.77.29.155,devpmsym2.pimco.imswest.sscims.com,,Unix/Linux,CatchAll,Red Hat Enterprise Linux Server 7.9,374873,Oracle Java SE Critical Patch Update - January 2021 (CPUJAN2021),Serious,3,,,44688,44688,CVE-2020-14803,"Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 

Affected Versions: 
Oracle Java JDK and JRE, versions 7u281, 8u271, 11.0.9, 15.0.1 and prior 

QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.",Exploitation could allow an attacker to impact the confidentiality of an affected system.,"The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2021 (https://www.oracle.com/security-alerts/cpujan2021.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - January 2021: Java (https://www.oracle.com/security-alerts/cpujan2021.html#AppendixJAVA)","Install Location	Version	Detection Type
/opt/CA/WorkloadAutomationAE/SystemAgent/WA_AGENT_DSYM2/jre/bin/java	1.7.0_51-b13	Enhanced
/usr/openv/java/jre/bin/java	1.8.0_131-b11	Enhanced#",2,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,No,D
On Prem - Internal,172.27.192.72,sep700b4f7b4241.pimco.imswest.sscims.com,,Undefined,Undefined_Linux,Ubuntu / Tiny Core Linux / Linux 2.6.x,38170,SSL Certificate - Subject Common Name Does Not Match Server FQDN,Medium,2,443,tcp,43785,44688,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection.
 
A certificate whose Subject commonName or subjectAltName does not match the server FQDN offers only encryption without authentication.
 
Please note that a false positive reporting of this vulnerability is possible in the following case:
 If the common name of the certificate uses a wildcard such as *.somedomainname.com and the reverse DNS resolution of the target IP is not configured. In this case there is no way for Qualys to associate the wildcard common name to the IP. Adding a reverse DNS lookup entry to the target IP will solve this problem.","A man-in-the-middle attacker can exploit this vulnerability in tandem with a DNS cache poisoning attack to lure the client to another server, and then steal all the encryption communication.",Please install a server certificate whose Subject commonName or subjectAltName matches the server FQDN.,"Certificate #0 CN=CP-8865-SEP700B4F7B4241,OU=CTG,O=Cisco_Systems_Inc.,serialNumber=PID:CP-8865_SN:FCH2242FZAS (CP-8865-SEP700B4F7B4241) doesn't resolve#",905,7. 2+ Years,Outside SLA,No,Non-OS,Config,No,E
On Prem - Internal,10.155.233.21,vmw10amer-p5055.pimco.imswest.sscims.com,VMW10AMER-P5055,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise LTSC 2019 64 bit Edition Version 1809,375395,IBM MQ DOS Vulnerability(303559),Medium,2,,,44535,44688,CVE-2018-1371,"The IBM MQ Appliance is a hardware product that provides IBM MQ ready installed and ready to use. The main use of IBM MQ is to send or exchange messages. One application puts a message on a queue on one computer, and another application gets the same message from another queue on a different computer. 

CVE-2018-1371: An IBM MQ client connecting to an MQ queue manager can cause a SIGSEGV in the amqrmppa channel process terminating it. 

Affected Versions: 
IBM MQ V 8.0.0.8 
IBM MQ V9 LTS 9.0.0.2 
IBM MQ version 9.0.4 

QID Detection Logic: (Authenticated)  
Operating System: Linux 
The QID runs the command ""/opt/mqm/bin/dspmqver -v | grep -A3 '^Name'"" and ""/usr/mqm/bin/dspmqver -v | grep -A3 '^Name'"" (for AIX only) to see if the system is running a vulnerable version of IBM MQ or not. 

Operating System: Windows 
It checks for vulnerable IBM MQ/WebSphere MQ versions.",Successful exploitation of this vulnerability could leads to cause Denial of service and may crash the process.,"The vendor has released a fix to resolve the issue, please refer to 303559 (https://www.ibm.com/support/pages/node/303559) for more information. 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  303559 (https://www.ibm.com/support/pages/node/303559)","C:\Program Files\IBM\MQ\bin\runmqdnm.exe  Version is  9.0.4.0
C:\Program Files\IBM\MQ\bin\runmqdnm.exe  Version is  9.0.4.0#",155,4. 91-180 Days,Inside SLA,No,Non-OS,Patch,No,F
On Prem - Internal,10.80.113.34,dmi33db02i.pimco.imswest.sscims.com,,Undefined,Undefined_Linux,Ubuntu / Linux 3.x,38169,SSL Certificate - Self-Signed Certificate,Medium,2,443,tcp,44618,44687,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection.
 
The client can trust that the Server Certificate belongs to the server only if it is signed by a mutually trusted third-party Certificate Authority (CA). Self-signed certificates are created generally for testing purposes or to avoid paying third-party CAs. These should not be used on any production or critical servers.
 
By exploiting this vulnerability, an attacker can impersonate the server by presenting a fake self-signed certificate. If the client knows that the server does not have a trusted certificate, it will accept this spoofed certificate and communicate with the remote server.","By exploiting this vulnerability, an attacker can launch a man-in-the-middle attack.",Please install a server certificate signed by a trusted third-party Certificate Authority.,"Certificate #0 CN=ORACLESP-2116XLD00X,OU=Oracle_Integrated_Lights_Out_Manager,O=Oracle_America\,_Inc,L=Redwood_Shores,ST=California,C=US  is a self signed certificate.#",72,3. 46-90 Days,Inside SLA,No,Non-OS,Config,No,G
On Prem - Internal,10.155.184.88,clv335pw-3a563b.core.pimcocloud.net,CLV335PW-3A563B,Windows Server,Windows_Server_2016,Windows Server 2016 Standard 64 bit Edition Version 1607,105171,Windows Explorer Autoplay Not Disabled for Default User,Medium,2,,,44254,44688,,The setting that prevents applications from any drive to be automatically executed when no user is logged in is not enabled on the host.,An attacker may be able to run an unauthorized application.,"Make sure that the value NoDriveTypeAutoRun is defined under this registry key:
 
HKU\DEFAULT\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer","%windir%\explorer.exe found
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoAutorun is missing.
HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.
HKU\.DEFAULT\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer NoDriveTypeAutoRun is missing.#",436,6. 1-2 Years,Outside SLA,No,Non-OS,Config,No,H
On Prem - Internal,10.155.216.146,clv3v5pl-b1b41a.core.pimcocloud.net,,Unix/Linux,CatchAll,Red Hat Enterprise Linux Server 7.6,239392,Red Hat Update for dhcp (RHSA-2021:2357),Critical,4,,,44689,44689,CVE-2021-25217,"The Dynamic Host Configuration Protocol (DHCP) is a protocol that allows individual devices on an IP network to get their own network configuration information, including an IP address, a subnet mask, and a broadcast address. The dhcp packages provide a relay agent and ISC DHCP service required to enable and administer DHCP on a network. Security Fix(es): dhcp: stack-based buffer overflow when parsing statements with colon-separated hex digits in config or lease files in dhcpd and dhclient (CVE-2021-25217)
 Affected Products:   Red Hat Enterprise Linux Server 7 x86_64 Red Hat Enterprise Linux Workstation 7 x86_64 Red Hat Enterprise Linux Desktop 7 x86_64 Red Hat Enterprise Linux for IBM z Systems 7 s390x Red Hat Enterprise Linux for Power, big endian 7 ppc64 Red Hat Enterprise Linux for Scientific Computing 7 x86_64 Red Hat Enterprise Linux for Power, little endian 7 ppc64le  Note: The preceding description block is extracted directly from the security advisory. Using automation, we have attempted to clean and format it as much as possible without introducing additional issues.","On successful exploitation, it could allow an attacker to execute code.","Upgrade to the latest packages which contain a patch. Refer to Applying Package Updates to RHEL system (https://access.redhat.com/articles/11258) for details. 
                        Refer to Red Hat security advisory RHSA-2021:2357 (https://access.redhat.com/errata/RHSA-2021:2357) to address this issue and obtain more information.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  RHSA-2021:2357: Red Hat Enterprise Linux (https://access.redhat.com/errata/RHSA-2021:2357?language=en)","Package	Installed Version	Required Version
dhclient	4.2.5-68.el7_5.1.x86_64	4.2.5-83.el7_9.1
dhcp-common	4.2.5-68.el7_5.1.x86_64	4.2.5-83.el7_9.1
dhcp-libs	4.2.5-68.el7_5.1.x86_64	4.2.5-83.el7_9.1#",1,1. 0-30 Days,Inside SLA,No,OS,Patch,No,I
On Prem - Internal,10.155.236.208,vmw10amer-p3835.pimco.imswest.sscims.com,VMW10AMER-P3835,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise LTSC 2019 64 bit Edition Version 1809,91881,Microsoft Visual Studio Security Update for April 2022,Serious,3,,,44667,44688,"CVE-2022-24765, CVE-2022-24513, CVE-2022-24767","Microsoft has released security Updates for Visual Studio which resolves Remote Code Execution and Denial of Service vulnerability. 

Affected Software:  
Microsoft Visual Studio 2019 version 16.7 (includes 16.0 - 16.6) 
Microsoft Visual Studio 2019 version 16.9 (includes 16.0 - 16.8) 
Microsoft Visual Studio 2019 version 16.11 (includes 16.0 - 16.10) 
Microsoft Visual Studio 2017 Version 17.0 
Microsoft Visual Studio 2017 Version 17.1  and
Microsoft VIsual Studio for Mac prior to 8.10.22.11  

  QID Detection Logic: Authenticated  
 This QID detects vulnerable versions of Microsoft Visual Studio by checking the file version of the Visual Studio.",Microsoft Visual Studio is prone to Elevation of Privilege Vulnerabilities,"Customers are advised to refer to CVE-2022-24765 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24765), CVE-2022-24513 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24513)  and CVE-2022-24767 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24767) for more information pertaining to these vulnerabilities.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  CVE-2022-24765 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24765)  CVE-2022-24513 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24513)  CVE-2022-24767 (https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24767)",C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\Common7\IDE\devenv.exe Version is 16.6.30320.27#,23,1. 0-30 Days,Inside SLA,No,Non-OS,Patch,Yes,J
On Prem - Internal,144.77.89.66,devpmmqv9.pimco.imswest.sscims.com,,Unix/Linux,Linux_RHEL,Red Hat Enterprise Linux Server 7.9,370161,Oracle Java SE Critical Patch Update - October 2016,Critical,5,,,44198,44688,"CVE-2016-5556, CVE-2016-5568, CVE-2016-5582, CVE-2016-5573, CVE-2016-5597, CVE-2016-5554, CVE-2016-5542","Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages.
 
JRE and JDK are exposed to multiple vulnerabilities that affect various components. Oracle's Java Critical Patch Update for April 2016 contains 7 new security fixes across multiple Java SE products and sub-products.
 
Affected Versions: 
Oracle Java JDK and JRE, versions 6u121 and earlier, 7u111 and earlier, 8u102 and earlier.",Exploitation could allow an attacker to take complete control of an affected system.,"The vendor released updates (Java SE JDK and JRE 8 Update 111 or later, Java SE JDK and JRE 7 Update 121, Java SE JDK and JRE 6 Update 131) to resolve these issues. 
 
Refer to vendor advisory Oracle Java SE CPU October 2016 (http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html) and Oracle Doc ID 2190513.1 (https://support.oracle.com/rs?type=doc&id=2190513.1) to obtain more details.
 
Updates for Java 5, Java 6 and Java 7 are no longer available to the public. Oracle offers updates to Java 5 and Java 6 only for customers who have purchased Java support or have Oracle products that require Java 5, Java 6 and Java 7.
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Java SE CPU October 2016: Oracle Java (http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html)","Install Location	Version	Detection Type
/opt/CA/WorkloadAutomationAE/SystemAgent/WA_AGENT_DMQ9/jre/bin/java	1.7.0_51-b13	Enhanced
/usr/openv/java/jre/bin/java	1.8.0_31-b13	Enhanced#",492,6. 1-2 Years,Outside SLA,No,Non-OS,Patch,No,K
On Prem - Internal,10.155.237.242,vmw10amer-p4075.pimco.imswest.sscims.com,VMW10AMER-P4075,Windows Workstation,Windows_Workstation_10,Windows 10 Enterprise LTSC 2019 64 bit Edition Version 1809,373540,Oracle Java SE Critical Patch Update - October 2020 (CPUOCT2020),Serious,3,,,44380,44688,"CVE-2020-14803, CVE-2020-14792, CVE-2020-14781, CVE-2020-14782, CVE-2020-14797, CVE-2020-14779, CVE-2020-14796, CVE-2020-14798","Oracle Java Runtime Environment (JRE) is a platform that supports the execution of programs that are developed using the Java programming language. The JRE platform also supports Java Applets, which can be loaded from Web pages. 
Oracle Java JRE and JDK contain multiple remotely exploitable vulnerabilities that affect various components. 

Affected Versions: 
Oracle Java JDK and JRE, versions 7u271, 8u261, 11.0.8, 15 and prior 

QID Detection Logic (Authenticated): 
This QID checks for the file or product version of jvm.dll or wsdetect.dll or verify.dll.",Exploitation could allow an attacker to impact the confidentiality of an affected system.,"The vendor has released updates to resolve these issues. 
 
Customers are advised to refer to vendor advisory Oracle Java SE CPU - July 2020 (https://www.oracle.com/security-alerts/cpujul2020.html#AppendixJAVA) 
 Patch: 
Following are links for downloading patches to fix the vulnerabilities:
  Oracle Critical Patch Update Advisory - October 2020: JAVA (https://www.oracle.com/security-alerts/cpuoct2020.html#AppendixJAVA)","C:\Program Files\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11
C:\Program Files (x86)\Java\jre1.8.0_231\bin\wsdetect.dll file version is 8.0.2310.11#",310,5. 180-365 Days,Outside SLA,No,Non-OS,Patch,No,L
